"",BBK01.OEXK01H,BBK01.OEXK01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:56,
2002-01,2.613,
2002-04,2.660,
2002-07,2.812,
2002-10,2.958,
2003-01,3.101,
2003-04,3.029,
2003-07,2.500,
2003-10,2.473,
2004-01,2.467,
2004-04,2.110,
2004-07,2.081,
2004-10,2.133,
2005-01,2.144,
2005-04,2.270,
2005-07,2.333,
2005-10,2.348,
2006-01,2.491,
2006-04,2.695,
2006-07,2.586,
2006-10,2.732,
2007-01,2.825,
2007-04,3.014,
2007-07,3.284,
2007-10,3.327,
2008-01,3.464,
2008-04,3.481,
2008-07,3.565,
2008-10,3.406,
2009-01,3.274,
2009-04,3.121,
2009-07,3.068,
2009-10,2.963,
2010-01,2.930,
2010-04,2.967,
2010-07,2.899,
2010-10,2.611,
2011-01,2.679,
2011-04,2.826,
2011-07,2.957,
2011-10,3.019,
2012-01,3.004,
2012-04,3.048,
2012-07,3.142,
2012-10,3.136,
2013-01,3.171,
2013-04,3.249,
2013-07,3.403,
2013-10,3.601,
2014-01,3.568,
2014-04,3.529,
2014-07,3.727,
