"",BBK01.CEFU0J,BBK01.CEFU0J_FLAGS
"",short-term savings deposits  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:06,
1999-01,492.2,
1999-04,496.9,
1999-07,496.3,
1999-10,492.2,
2000-01,480.5,
2000-04,464.6,
2000-07,451.8,
2000-10,439.9,
2001-01,436.4,
2001-04,437.1,
2001-07,440.5,
2001-10,452.0,
2002-01,456.9,
2002-04,451.3,
2002-07,453.8,
2002-10,463.1,
2003-01,474.3,
2003-04,479.4,
2003-07,487.3,
2003-10,490.2,
2004-01,494.7,
2004-04,498.1,
2004-07,501.6,
2004-10,503.6,
2005-01,506.9,
2005-04,508.2,
2005-07,509.3,
2005-10,506.9,
2006-01,505.8,
2006-04,500.6,
2006-07,491.3,
2006-10,476.7,
2007-01,466.2,
2007-04,457.1,
2007-07,447.1,
2007-10,437.2,
2008-01,431.4,
2008-04,427.5,
2008-07,418.8,
2008-10,416.4,
2009-01,429.7,
2009-04,439.6,
2009-07,452.7,
2009-10,463.2,
2010-01,476.1,
2010-04,481.3,
2010-07,490.1,
2010-10,498.3,
2011-01,505.1,
2011-04,502.8,
2011-07,501.2,
2011-10,502.1,
2012-01,508.9,
2012-04,508.5,
2012-07,510.8,
2012-10,512.7,
2013-01,514.3,
2013-04,514.6,
2013-07,515.0,
2013-10,516.2,
2014-01,515.8,
2014-04,514.3,
2014-07,515.0,
