"",BBK01.OEAE05S,BBK01.OEAE05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:48,
2002-01,0.307,
2002-04,0.301,
2002-07,0.299,
2002-10,0.293,
2003-01,0.280,
2003-04,0.278,
2003-07,0.268,
2003-10,0.264,
2004-01,0.256,
2004-04,0.268,
2004-07,0.257,
2004-10,0.258,
2005-01,0.259,
2005-04,0.255,
2005-07,0.257,
2005-10,0.253,
2006-01,0.255,
2006-04,0.257,
2006-07,0.271,
2006-10,0.264,
2007-01,0.265,
2007-04,0.258,
2007-07,0.247,
2007-10,0.255,
2008-01,0.242,
2008-04,0.212,
2008-07,0.206,
2008-10,0.212,
2009-01,0.212,
2009-04,0.205,
2009-07,0.203,
2009-10,0.199,
2010-01,0.212,
2010-04,0.207,
2010-07,0.207,
2010-10,0.217,
2011-01,0.221,
2011-04,0.230,
2011-07,0.229,
2011-10,0.232,
2012-01,0.240,
2012-04,0.237,
2012-07,0.241,
2012-10,0.242,
2013-01,0.249,
2013-04,0.253,
2013-07,0.252,
2013-10,0.258,
2014-01,0.260,
2014-04,0.258,
2014-07,0.256,
