"",BBK01.OELB16N,BBK01.OELB16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:22,
2002-01,21.736,
2002-04,22.085,
2002-07,22.330,
2002-10,22.727,
2003-01,22.881,
2003-04,23.191,
2003-07,23.413,
2003-10,23.761,
2004-01,24.005,
2004-04,24.244,
2004-07,24.277,
2004-10,24.589,
2005-01,24.695,
2005-04,24.912,
2005-07,24.989,
2005-10,25.210,
2006-01,25.327,
2006-04,25.504,
2006-07,25.613,
2006-10,25.817,
2007-01,25.950,
2007-04,26.046,
2007-07,25.416,
2007-10,25.509,
2008-01,25.747,
2008-04,25.987,
2008-07,26.235,
2008-10,26.325,
2009-01,26.441,
2009-04,26.600,
2009-07,26.783,
2009-10,27.042,
2010-01,27.286,
2010-04,27.603,
2010-07,27.834,
2010-10,27.970,
2011-01,28.142,
2011-04,28.389,
2011-07,28.532,
2011-10,29.479,
2012-01,29.591,
2012-04,20.016,
2012-07,20.149,
2012-10,20.203,
2013-01,20.159,
2013-04,20.203,
2013-07,20.475,
2013-10,20.531,
2014-01,20.645,
2014-04,20.653,
2014-07,20.780,
