"",BBK01.OEYB20L,BBK01.OEYB20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:12,
2002-01,24.516,
2002-04,25.976,
2002-07,26.724,
2002-10,26.205,
2003-01,26.958,
2003-04,30.171,
2003-07,33.902,
2003-10,35.914,
2004-01,35.125,
2004-04,35.450,
2004-07,35.615,
2004-10,35.238,
2005-01,34.699,
2005-04,34.201,
2005-07,33.748,
2005-10,31.524,
2006-01,30.441,
2006-04,24.800,
2006-07,26.827,
2006-10,25.446,
2007-01,21.585,
2007-04,21.802,
2007-07,26.937,
2007-10,26.176,
2008-01,25.093,
2008-04,23.774,
2008-07,27.732,
2008-10,26.516,
2009-01,26.093,
2009-04,25.394,
2009-07,24.623,
2009-10,23.988,
2010-01,23.359,
2010-04,22.760,
2010-07,22.139,
2010-10,21.512,
2011-01,20.138,
2011-04,19.705,
2011-07,19.110,
2011-10,18.521,
2012-01,18.044,
2012-04,17.562,
2012-07,17.088,
2012-10,16.390,
2013-01,16.071,
2013-04,15.551,
2013-07,14.936,
2013-10,14.546,
2014-01,14.247,
2014-04,14.017,
2014-07,13.901,
