"",BBK01.OEBK06M,BBK01.OEBK06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:25,
2002-01,0.026,
2002-04,0.027,
2002-07,0.027,
2002-10,0.023,
2003-01,0.026,
2003-04,0.032,
2003-07,0.039,
2003-10,0.042,
2004-01,0.041,
2004-04,0.040,
2004-07,0.053,
2004-10,0.103,
2005-01,0.111,
2005-04,0.080,
2005-07,0.080,
2005-10,0.082,
2006-01,0.085,
2006-04,0.088,
2006-07,0.101,
2006-10,0.105,
2007-01,0.106,
2007-04,0.096,
2007-07,0.092,
2007-10,0.101,
2008-01,0.111,
2008-04,0.110,
2008-07,0.099,
2008-10,0.118,
2009-01,0.202,
2009-04,0.243,
2009-07,0.261,
2009-10,0.314,
2010-01,0.359,
2010-04,0.371,
2010-07,0.376,
2010-10,0.387,
2011-01,0.378,
2011-04,0.399,
2011-07,0.396,
2011-10,0.395,
2012-01,0.349,
2012-04,0.340,
2012-07,0.332,
2012-10,0.295,
2013-01,0.227,
2013-04,0.194,
2013-07,0.177,
2013-10,0.172,
2014-01,0.158,
2014-04,0.103,
2014-07,0.090,
