"",BBK01.OEAH27V,BBK01.OEAH27V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:55,
2002-01,4.146,
2002-04,4.061,
2002-07,4.103,
2002-10,4.104,
2003-01,3.913,
2003-04,3.565,
2003-07,3.308,
2003-10,3.281,
2004-01,3.072,
2004-04,2.815,
2004-07,2.825,
2004-10,3.069,
2005-01,3.281,
2005-04,3.329,
2005-07,3.169,
2005-10,3.150,
2006-01,3.127,
2006-04,3.294,
2006-07,3.422,
2006-10,3.727,
2007-01,3.994,
2007-04,4.015,
2007-07,4.318,
2007-10,4.588,
2008-01,4.515,
2008-04,4.410,
2008-07,4.408,
2008-10,4.912,
2009-01,4.807,
2009-04,4.777,
2009-07,4.586,
2009-10,4.452,
2010-01,4.247,
2010-04,4.074,
2010-07,3.775,
2010-10,3.684,
2011-01,3.765,
2011-04,3.707,
2011-07,3.585,
2011-10,3.431,
2012-01,3.262,
2012-04,3.137,
2012-07,2.961,
2012-10,2.708,
2013-01,2.439,
2013-04,2.143,
2013-07,1.958,
2013-10,1.887,
2014-01,1.823,
2014-04,1.812,
2014-07,1.931,
