"",BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:46,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,0.173,
1993-04,0.003,
1993-07,-0.058,
1993-10,-7.076,
1994-01,-2.310,
1994-04,-0.709,
1994-07,0.099,
1994-10,-0.622,
1995-01,-1.933,
1995-04,-2.326,
1995-07,-1.254,
1995-10,7.698,
1996-01,-0.202,
1996-04,0.071,
1996-07,0.942,
1996-10,0.910,
1997-01,-8.160,
1997-04,1.202,
1997-07,3.735,
1997-10,-6.732,
1998-01,1.965,
1998-04,7.320,
1998-07,-7.818,
1998-10,0.214,
1999-01,4.016,
1999-04,9.622,
1999-07,0.340,
1999-10,-17.187,
2000-01,0.301,
2000-04,4.553,
2000-07,-0.186,
2000-10,-27.242,
2001-01,-12.988,
2001-04,10.711,
2001-07,8.008,
2001-10,-9.016,
2002-01,16.238,
2002-04,9.950,
2002-07,4.829,
2002-10,18.737,
2003-01,56.385,
2003-04,-16.425,
2003-07,-10.136,
2003-10,3.405,
2004-01,-2.001,
2004-04,27.629,
2004-07,-6.242,
2004-10,-6.740,
2005-01,9.574,
2005-04,16.269,
2005-07,11.304,
2005-10,0.954,
2006-01,24.305,
2006-04,33.157,
2006-07,-2.559,
2006-10,-17.937,
2007-01,32.252,
2007-04,35.259,
2007-07,1.759,
2007-10,-63.078,
2008-01,-11.525,
2008-04,56.891,
2008-07,-46.967,
2008-10,-77.026,
2009-01,18.662,
2009-04,-132.082,
2009-07,-18.128,
2009-10,202.228,
2010-01,-43.825,
2010-04,-89.512,
2010-07,-19.473,
2010-10,-52.238,
2011-01,-73.511,
2011-04,-15.539,
2011-07,221.462,
2011-10,30.257,
2012-01,-88.525,
2012-04,97.795,
2012-07,-42.325,
2012-10,31.320,
2013-01,23.988,
2013-04,-68.610,
2013-07,-91.929,
2013-10,-167.285,
2014-01,-168.074,Provisional value
2014-04,-309.632,Provisional value
2014-07,-172.634,Provisional value
2014-10,-353.078,Provisional value
