"",BBK01.OEAH78V,BBK01.OEAH78V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:13,
2002-01,0.067,
2002-04,0.067,
2002-07,0.067,
2002-10,0.061,
2003-01,0.055,
2003-04,0.052,
2003-07,0.050,
2003-10,0.040,
2004-01,0.040,
2004-04,0.040,
2004-07,0.040,
2004-10,0.043,
2005-01,0.044,
2005-04,0.044,
2005-07,0.043,
2005-10,0.041,
2006-01,0.041,
2006-04,0.041,
2006-07,0.051,
2006-10,0.053,
2007-01,0.045,
2007-04,0.051,
2007-07,0.046,
2007-10,0.034,
2008-01,0.033,
2008-04,0.033,
2008-07,0.033,
2008-10,0.036,
2009-01,0.024,
2009-04,0.036,
2009-07,0.036,
2009-10,0.039,
2010-01,0.048,
2010-04,0.045,
2010-07,0.045,
2010-10,0.044,
2011-01,0.045,
2011-04,0.046,
2011-07,0.046,
2011-10,0.046,
2012-01,0.046,
2012-04,0.049,
2012-07,0.048,
2012-10,0.048,
2013-01,0.048,
2013-04,0.050,
2013-07,0.055,
2013-10,0.071,
2014-01,0.089,
2014-04,0.103,
2014-07,0.231,
