"",BBFB1.Q.N.DE.A5.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:07,
1991-01,153.834,
1991-04,116.323,
1991-07,129.883,
1991-10,110.172,
1992-01,67.598,
1992-04,76.275,
1992-07,32.718,
1992-10,82.510,
1993-01,24.182,
1993-04,101.545,
1993-07,95.698,
1993-10,113.311,
1994-01,4.147,
1994-04,56.264,
1994-07,84.129,
1994-10,106.574,
1995-01,259.358,
1995-04,287.536,
1995-07,286.066,
1995-10,259.892,
1996-01,240.290,
1996-04,192.566,
1996-07,152.724,
1996-10,153.665,
1997-01,207.555,
1997-04,111.220,
1997-07,133.832,
1997-10,162.286,
1998-01,190.425,
1998-04,-63.815,
1998-07,67.923,
1998-10,160.981,
1999-01,415.260,
1999-04,66.841,
1999-07,208.388,
1999-10,345.446,
2000-01,207.135,
2000-04,279.394,
2000-07,492.966,
2000-10,453.231,
2001-01,112.836,
2001-04,209.450,
2001-07,212.444,
2001-10,135.807,
2002-01,232.176,
2002-04,117.310,
2002-07,86.629,
2002-10,38.289,
2003-01,311.116,
2003-04,143.119,
2003-07,133.840,
2003-10,87.439,
2004-01,312.165,
2004-04,428.909,
2004-07,531.337,
2004-10,596.867,
2005-01,192.741,
2005-04,192.453,
2005-07,193.646,
2005-10,243.005,
2006-01,316.939,
2006-04,372.746,
2006-07,454.272,
2006-10,514.019,
2007-01,547.456,
2007-04,546.272,
2007-07,526.534,
2007-10,499.873,
2008-01,-327.730,
2008-04,596.164,
2008-07,910.065,
2008-10,292.806,
2009-01,47.115,
2009-04,-223.745,
2009-07,30.007,
2009-10,27.184,
2010-01,380.340,
2010-04,317.518,
2010-07,330.933,
2010-10,337.218,
2011-01,265.738,
2011-04,291.362,
2011-07,343.355,
2011-10,321.617,
2012-01,373.164,
2012-04,397.667,
2012-07,421.099,
2012-10,442.929,
2013-01,785.903,
2013-04,732.915,
2013-07,751.683,
2013-10,755.603,
2014-01,695.705,Provisional value
2014-04,703.723,Provisional value
2014-07,720.338,Provisional value
