"",BBFB1.Q.N.DE.IT.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:52,
1991-01,704.283,
1991-04,-274.036,
1991-07,504.803,
1991-10,-115.545,
1992-01,739.145,
1992-04,-110.314,
1992-07,-1068.516,
1992-10,446.579,
1993-01,-601.943,
1993-04,586.741,
1993-07,350.513,
1993-10,1086.514,
1994-01,360.181,
1994-04,101.123,
1994-07,-498.775,
1994-10,1269.850,
1995-01,562.941,
1995-04,347.897,
1995-07,86.841,
1995-10,1061.781,
1996-01,-444.976,
1996-04,1567.918,
1996-07,560.300,
1996-10,3660.173,
1997-01,576.525,
1997-04,1804.497,
1997-07,3107.354,
1997-10,1478.232,
1998-01,6252.792,
1998-04,4360.698,
1998-07,2419.216,
1998-10,5060.110,
1999-01,3645.639,
1999-04,5937.711,
1999-07,-940.113,
1999-10,-1773.655,
2000-01,2496.099,
2000-04,2084.090,
2000-07,-1124.203,
2000-10,5031.901,
2001-01,10009.468,
2001-04,-3098.531,
2001-07,6387.207,
2001-10,328.547,
2002-01,-2623.645,
2002-04,3466.203,
2002-07,5262.642,
2002-10,445.993,
2003-01,5112.858,
2003-04,-4072.192,
2003-07,2894.764,
2003-10,7185.497,
2004-01,-1501.964,
2004-04,275.582,
2004-07,1246.848,
2004-10,6793.700,
2005-01,-1458.397,
2005-04,7647.194,
2005-07,358.441,
2005-10,27913.306,
2006-01,6870.508,
2006-04,4155.811,
2006-07,3859.759,
2006-10,-245.093,
2007-01,9050.108,
2007-04,29832.765,
2007-07,-3798.822,
2007-10,-2092.463,
2008-01,2367.904,
2008-04,-4600.532,
2008-07,-8978.467,
2008-10,-8866.382,
2009-01,-5215.785,
2009-04,578.354,
2009-07,-4057.602,
2009-10,4559.472,
2010-01,200.793,
2010-04,2435.588,
2010-07,-5641.792,
2010-10,477.454,
2011-01,1883.715,
2011-04,-3441.179,
2011-07,4064.451,
2011-10,-3181.373,
2012-01,11832.579,
2012-04,-459.909,
2012-07,-903.100,
2012-10,233.301,
2013-01,-549.276,
2013-04,-6760.723,
2013-07,465.942,
2013-10,-739.960,
2014-01,1466.623,Provisional value
2014-04,598.346,Provisional value
2014-07,25.705,Provisional value
2014-10,-277.290,Provisional value
