"",BBK01.OEYJ03H,BBK01.OEYJ03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:42,
2002-01,42.904,
2002-04,42.761,
2002-07,43.024,
2002-10,43.840,
2003-01,45.208,
2003-04,45.660,
2003-07,44.447,
2003-10,50.176,
2004-01,50.839,
2004-04,52.440,
2004-07,52.042,
2004-10,52.596,
2005-01,53.123,
2005-04,52.926,
2005-07,52.552,
2005-10,49.987,
2006-01,51.657,
2006-04,51.634,
2006-07,51.420,
2006-10,50.798,
2007-01,55.283,
2007-04,55.913,
2007-07,56.090,
2007-10,55.542,
2008-01,67.096,
2008-04,69.712,
2008-07,71.229,
2008-10,65.015,
2009-01,71.350,
2009-04,71.284,
2009-07,79.118,
2009-10,76.587,
2010-01,78.487,
2010-04,78.454,
2010-07,76.401,
2010-10,75.346,
2011-01,70.544,
2011-04,70.823,
2011-07,68.472,
2011-10,68.909,
2012-01,65.159,
2012-04,65.134,
2012-07,63.790,
2012-10,66.729,
2013-01,64.858,
2013-04,63.605,
2013-07,61.647,
2013-10,62.206,
2014-01,61.614,
2014-04,60.669,
2014-07,60.100,
