"",BBK01.OEAG02Q,BBK01.OEAG02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:31,
2002-01,0.742,
2002-04,0.685,
2002-07,0.483,
2002-10,0.535,
2003-01,0.753,
2003-04,0.655,
2003-07,0.732,
2003-10,0.444,
2004-01,0.444,
2004-04,0.457,
2004-07,0.685,
2004-10,0.554,
2005-01,0.513,
2005-04,0.467,
2005-07,0.470,
2005-10,0.680,
2006-01,0.670,
2006-04,0.678,
2006-07,0.679,
2006-10,0.728,
2007-01,0.666,
2007-04,0.659,
2007-07,0.737,
2007-10,0.508,
2008-01,0.448,
2008-04,0.453,
2008-07,0.217,
2008-10,0.229,
2009-01,0.270,
2009-04,0.270,
2009-07,0.268,
2009-10,0.266,
2010-01,0.269,
2010-04,0.083,
2010-07,0.079,
2010-10,0.025,
2011-01,0.023,
2011-04,0.023,
2011-07,0.023,
2011-10,0.020,
2012-01,0.018,
2012-04,0.018,
2012-07,0.018,
2012-10,0.017,
2013-01,0.016,
2013-04,0.017,
2013-07,0.016,
2013-10,0.012,
2014-01,0.014,
2014-04,0.513,
2014-07,0.015,
