"",BBK01.OEBB01N,BBK01.OEBB01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:36,
2002-01,151.852,
2002-04,153.189,
2002-07,151.385,
2002-10,150.290,
2003-01,146.646,
2003-04,149.193,
2003-07,147.864,
2003-10,148.371,
2004-01,146.560,
2004-04,147.580,
2004-07,149.959,
2004-10,103.996,
2005-01,120.248,
2005-04,121.035,
2005-07,121.706,
2005-10,121.712,
2006-01,119.605,
2006-04,122.022,
2006-07,123.722,
2006-10,123.057,
2007-01,125.339,
2007-04,129.160,
2007-07,131.736,
2007-10,136.779,
2008-01,141.214,
2008-04,146.339,
2008-07,154.089,
2008-10,158.405,
2009-01,151.277,
2009-04,153.433,
2009-07,159.903,
2009-10,150.110,
2010-01,150.475,
2010-04,154.738,
2010-07,148.514,
2010-10,148.452,
2011-01,149.581,
2011-04,152.471,
2011-07,162.652,
2011-10,162.512,
2012-01,153.838,
2012-04,155.313,
2012-07,159.029,
2012-10,157.075,
2013-01,161.443,
2013-04,161.513,
2013-07,144.111,
2013-10,142.960,
2014-01,147.805,
2014-04,148.481,
2014-07,147.180,
