"",BBSF2.M.1.T.00000.GEF01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Mixed funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:06,
2009-09,10890,
2009-10,10543,
2009-11,10535,
2009-12,11023,
2010-01,10496,
2010-02,10210,
2010-03,11189,
2010-04,10834,
2010-05,10060,
2010-06,10200,
2010-07,10900,
2010-08,10673,
2010-09,11112,
2010-10,11573,
2010-11,10804,
2010-12,11179,
2011-01,11769,
2011-02,11916,
2011-03,11547,
2011-04,11794,
2011-05,11142,
2011-06,10874,
2011-07,10065,
2011-08,8851,
2011-09,8426,
2011-10,9317,
2011-11,8636,
2011-12,8616,
2012-01,8833,
2012-02,9135,
2012-03,8747,
2012-04,8694,
2012-05,8235,
2012-06,8753,
2012-07,8937,
2012-08,8507,
2012-09,8485,
2012-10,8731,
2012-11,8769,
2012-12,8816,
2013-01,9245,
2013-02,9187,
2013-03,9097,
2013-04,9519,
2013-05,9689,
2013-06,8976,
2013-07,10177,
2013-08,10240,
2013-09,10489,
2013-10,11245,
2013-11,10990,
2013-12,10607,
2014-01,10341,
2014-02,11168,
2014-03,11366,
2014-04,11730,
2014-05,11945,
2014-06,11969,
2014-07,11353,
2014-08,10197,
2014-09,10355,
2014-10,10396,
2014-11,10535,
