"",BBSF2.M.1.P.00000.AKT01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.AKT01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Public funds / Equity funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:10,
2009-09,2,
2009-10,15,
2009-11,6,
2009-12,0,
2010-01,1,
2010-02,2,
2010-03,3,
2010-04,6,
2010-05,9,
2010-06,22,
2010-07,9,
2010-08,3,
2010-09,3,
2010-10,3,
2010-11,-,Nothing exists
2010-12,-,Nothing exists
2011-01,0,
2011-02,1,
2011-03,1,
2011-04,2,
2011-05,3,
2011-06,4,
2011-07,3,
2011-08,4,
2011-09,6,
2011-10,5,
2011-11,4,
2011-12,5,
2012-01,5,
2012-02,4,
2012-03,29,
2012-04,29,
2012-05,28,
2012-06,26,
2012-07,26,
2012-08,25,
2012-09,15,
2012-10,13,
2012-11,13,
2012-12,15,
2013-01,21,
2013-02,122,
2013-03,121,
2013-04,120,
2013-05,122,
2013-06,110,
2013-07,187,
2013-08,181,
2013-09,194,
2013-10,207,
2013-11,217,
2013-12,218,
2014-01,93,
2014-02,169,
2014-03,105,
2014-04,108,
2014-05,107,
2014-06,108,
2014-07,23,
2014-08,3,
2014-09,2,
2014-10,2,
2014-11,2,
