"",BBK01.OEBI02O,BBK01.OEBI02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:21,
2002-01,-12.730,
2002-04,-12.978,
2002-07,-12.481,
2002-10,-13.895,
2003-01,-14.333,
2003-04,-13.257,
2003-07,-14.663,
2003-10,-15.901,
2004-01,-15.901,
2004-04,-15.897,
2004-07,-16.230,
2004-10,-16.846,
2005-01,3.896,
2005-04,4.242,
2005-07,4.184,
2005-10,4.753,
2006-01,4.583,
2006-04,4.499,
2006-07,4.222,
2006-10,4.505,
2007-01,4.337,
2007-04,4.565,
2007-07,4.954,
2007-10,5.584,
2008-01,5.219,
2008-04,5.180,
2008-07,5.408,
2008-10,5.639,
2009-01,5.774,
2009-04,5.771,
2009-07,6.176,
2009-10,6.538,
2010-01,6.429,
2010-04,6.578,
2010-07,9.028,
2010-10,8.369,
2011-01,8.149,
2011-04,8.269,
2011-07,8.534,
2011-10,8.333,
2012-01,8.072,
2012-04,7.963,
2012-07,8.441,
2012-10,9.702,
2013-01,9.242,
2013-04,8.850,
2013-07,8.561,
2013-10,8.714,
2014-01,8.330,
2014-04,8.427,
2014-07,9.333,
