"",BBK01.OEXI08L,BBK01.OEXI08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:14,
2002-01,2.083,
2002-04,2.208,
2002-07,3.133,
2002-10,3.960,
2003-01,4.506,
2003-04,4.567,
2003-07,4.566,
2003-10,4.545,
2004-01,4.550,
2004-04,4.507,
2004-07,4.543,
2004-10,4.569,
2005-01,4.596,
2005-04,4.602,
2005-07,4.539,
2005-10,4.604,
2006-01,4.635,
2006-04,4.661,
2006-07,4.793,
2006-10,4.836,
2007-01,4.794,
2007-04,4.530,
2007-07,3.795,
2007-10,3.190,
2008-01,2.768,
2008-04,2.674,
2008-07,2.679,
2008-10,2.614,
2009-01,2.940,
2009-04,3.166,
2009-07,4.055,
2009-10,4.290,
2010-01,4.248,
2010-04,3.446,
2010-07,3.481,
2010-10,3.956,
2011-01,3.926,
2011-04,2.888,
2011-07,2.817,
2011-10,2.722,
2012-01,2.715,
2012-04,2.752,
2012-07,2.730,
2012-10,2.739,
2013-01,2.856,
2013-04,2.971,
2013-07,3.146,
2013-10,3.317,
2014-01,3.400,
2014-04,3.474,
2014-07,3.504,
