"",BBFN1.M.DE.N.1.A.U2.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from advance payments made / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:37,
1995-01,3.222,
1995-02,3.104,
1995-03,3.294,
1995-04,3.256,
1995-05,3.286,
1995-06,3.288,
1995-07,3.325,
1995-08,3.390,
1995-09,3.357,
1995-10,3.364,
1995-11,3.377,
1995-12,3.228,
1996-01,3.210,
1996-02,3.241,
1996-03,3.350,
1996-04,3.304,
1996-05,3.330,
1996-06,3.266,
1996-07,3.245,
1996-08,3.185,
1996-09,3.119,
1996-10,3.138,
1996-11,3.040,
1996-12,3.270,
1997-01,3.266,
1997-02,3.304,
1997-03,3.300,
1997-04,3.383,
1997-05,3.447,
1997-06,3.188,
1997-07,3.153,
1997-08,3.131,
1997-09,3.141,
1997-10,3.084,
1997-11,3.096,
1997-12,2.882,
1998-01,3.042,
1998-02,3.198,
1998-03,3.009,
1998-04,3.164,
1998-05,3.051,
1998-06,2.890,
1998-07,2.977,
1998-08,3.030,
1998-09,3.244,
1998-10,3.459,
1998-11,3.106,
1998-12,3.005,
1999-01,3.193,
1999-02,3.277,
1999-03,3.294,
1999-04,3.392,
1999-05,3.353,
1999-06,3.123,
1999-07,3.288,
1999-08,3.229,
1999-09,3.187,
1999-10,3.128,
1999-11,3.236,
1999-12,3.304,
2000-01,3.312,
2000-02,3.273,
2000-03,3.343,
2000-04,3.090,
2000-05,3.220,
2000-06,2.969,
2000-07,3.166,
2000-08,3.124,
2000-09,3.096,
2000-10,3.171,
2000-11,3.157,
2000-12,2.874,
2001-01,3.165,
2001-02,3.162,
2001-03,3.152,
2001-04,3.255,
2001-05,3.371,
2001-06,3.230,
2001-07,3.242,
2001-08,3.439,
2001-09,3.309,
2001-10,3.442,
2001-11,3.318,
2001-12,3.362,
2002-01,3.574,
2002-02,3.420,
2002-03,3.362,
2002-04,3.465,
2002-05,3.450,
2002-06,3.462,
2002-07,3.565,
2002-08,3.567,
2002-09,3.389,
2002-10,3.543,
2002-11,3.188,
2002-12,3.077,
2003-01,3.164,
2003-02,3.145,
2003-03,3.217,
2003-04,3.259,
2003-05,3.218,
2003-06,3.221,
2003-07,3.384,
2003-08,3.254,
2003-09,3.199,
2003-10,3.314,
2003-11,3.131,
2003-12,2.848,
2004-01,2.963,
2004-02,3.254,
2004-03,2.845,
2004-04,2.827,
2004-05,2.838,
2004-06,2.953,
2004-07,2.933,
2004-08,2.961,
2004-09,2.851,
2004-10,2.800,
2004-11,2.765,
2004-12,2.624,
2005-01,2.699,
2005-02,2.728,
2005-03,2.756,
2005-04,2.828,
2005-05,2.940,
2005-06,2.838,
2005-07,2.878,
2005-08,2.920,
2005-09,3.019,
2005-10,3.030,
2005-11,3.019,
2005-12,2.955,
2006-01,3.027,
2006-02,3.078,
2006-03,3.120,
2006-04,3.231,
2006-05,3.327,
2006-06,3.295,
2006-07,3.486,
2006-08,3.401,
2006-09,3.247,
2006-10,3.384,
2006-11,3.446,
2006-12,3.297,
2007-01,3.466,
2007-02,3.496,
2007-03,3.565,
2007-04,3.718,
2007-05,3.924,
2007-06,3.896,
2007-07,4.067,
2007-08,4.132,
2007-09,4.201,
2007-10,4.314,
2007-11,4.421,
2007-12,4.324,
2008-01,4.485,
2008-02,4.645,
2008-03,4.493,
2008-04,4.722,
2008-05,4.835,
2008-06,4.798,
2008-07,4.957,
2008-08,5.012,
2008-09,4.983,
2008-10,5.026,
2008-11,5.095,
2008-12,4.916,
2009-01,5.062,
2009-02,5.104,
2009-03,5.043,
2009-04,4.940,
2009-05,4.953,
2009-06,4.952,
2009-07,4.906,
2009-08,4.925,
2009-09,4.733,
2009-10,4.920,
2009-11,4.781,
2009-12,4.694,
2010-01,4.879,
2010-02,4.835,
2010-03,4.821,
2010-04,4.832,
2010-05,4.817,
2010-06,4.799,
2010-07,4.723,
2010-08,4.681,
2010-09,4.759,
2010-10,4.787,
2010-11,4.766,
2010-12,4.806,
2011-01,6.012,
2011-02,6.006,
2011-03,5.951,
2011-04,5.956,
2011-05,6.030,
2011-06,5.991,
2011-07,5.985,
2011-08,6.027,
2011-09,6.024,
2011-10,6.068,
2011-11,5.821,
2011-12,5.931,
2012-01,5.970,
2012-02,5.936,
2012-03,5.896,
2012-04,5.824,
2012-05,5.906,
2012-06,6.056,
2012-07,6.093,
2012-08,6.170,
2012-09,6.236,
2012-10,6.190,
2012-11,6.173,
2012-12,5.898,
2013-01,6.014,
2013-02,6.048,
2013-03,6.006,
2013-04,6.076,
2013-05,6.202,
2013-06,6.563,
2013-07,5.973,
2013-08,5.996,
2013-09,6.150,
2013-10,6.261,
2013-11,6.491,
2013-12,6.175,
2014-01,6.199,
2014-02,6.168,
2014-03,6.104,
2014-04,6.192,
2014-05,6.215,
2014-06,6.064,
2014-07,6.121,
2014-08,6.171,
2014-09,6.294,
2014-10,6.298,
2014-11,6.128,
2014-12,6.220,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
