"",BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.O.F4.T._T.N.N,BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.O.F4.T._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / General government / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:59:02,
1991-01,-29.216,
1991-04,-614.011,
1991-07,760.076,
1991-10,-397.395,
1992-01,-486.531,
1992-04,-729.497,
1992-07,-475.512,
1992-10,731.979,
1993-01,-1010.094,
1993-04,210.791,
1993-07,2147.028,
1993-10,887.173,
1994-01,-616.533,
1994-04,249.039,
1994-07,-1052.973,
1994-10,1680.121,
1995-01,-288.554,
1995-04,-1381.132,
1995-07,-129.776,
1995-10,2715.140,
1996-01,-2095.715,
1996-04,636.137,
1996-07,367.671,
1996-10,1952.832,
1997-01,-1504.771,
1997-04,-619.516,
1997-07,-1432.069,
1997-10,104.814,
1998-01,-120.501,
1998-04,-187.617,
1998-07,-1029.260,
1998-10,-1406.208,
1999-01,-3829.924,
1999-04,-1161.631,
1999-07,-2164.559,
1999-10,-3086.368,
2000-01,308.725,
2000-04,-255.285,
2000-07,-659.502,
2000-10,-352.014,
2001-01,-233.743,
2001-04,-184.709,
2001-07,-147.585,
2001-10,185.119,
2002-01,-236.110,
2002-04,-30.306,
2002-07,286.450,
2002-10,-1.310,
2003-01,3893.755,
2003-04,-129.859,
2003-07,-180.099,
2003-10,1154.655,
2004-01,-1550.078,
2004-04,446.347,
2004-07,-826.227,
2004-10,-552.312,
2005-01,5400.076,
2005-04,867.715,
2005-07,-4485.073,
2005-10,1911.545,
2006-01,-949.325,
2006-04,-2067.817,
2006-07,4024.018,
2006-10,-2814.383,
2007-01,-643.829,
2007-04,637.839,
2007-07,416.709,
2007-10,-2974.864,
2008-01,2700.274,
2008-04,5064.502,
2008-07,1166.459,
2008-10,-4439.786,
2009-01,9027.426,
2009-04,-3344.845,
2009-07,368.787,
2009-10,-8720.959,
2010-01,-3621.912,
2010-04,1443.571,
2010-07,2522.293,
2010-10,94314.534,
2011-01,-12344.256,
2011-04,-542.969,
2011-07,5380.339,
2011-10,26987.320,
2012-01,-26236.186,
2012-04,4417.723,
2012-07,-17081.705,
2012-10,8055.049,
2013-01,-5388.727,
2013-04,8946.502,
2013-07,-8494.015,
2013-10,3232.831,
2014-01,-8492.029,
2014-04,5328.537,
2014-07,-4196.559,
