"",BBFN1.M.DE.N.1.A.U2.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:01,
1995-01,92.017,
1995-02,90.963,
1995-03,93.508,
1995-04,94.507,
1995-05,96.570,
1995-06,94.851,
1995-07,92.496,
1995-08,91.491,
1995-09,91.175,
1995-10,93.647,
1995-11,92.601,
1995-12,85.596,
1996-01,86.226,
1996-02,89.390,
1996-03,95.152,
1996-04,94.707,
1996-05,94.331,
1996-06,91.681,
1996-07,88.750,
1996-08,86.101,
1996-09,88.311,
1996-10,87.605,
1996-11,91.015,
1996-12,87.855,
1997-01,94.091,
1997-02,96.551,
1997-03,97.696,
1997-04,97.623,
1997-05,96.732,
1997-06,96.224,
1997-07,98.233,
1997-08,92.323,
1997-09,91.933,
1997-10,93.311,
1997-11,93.000,
1997-12,89.177,
1998-01,94.376,
1998-02,95.274,
1998-03,99.334,
1998-04,102.057,
1998-05,102.220,
1998-06,100.129,
1998-07,100.652,
1998-08,99.076,
1998-09,102.401,
1998-10,104.494,
1998-11,104.382,
1998-12,97.633,
1999-01,95.970,
1999-02,96.790,
1999-03,100.892,
1999-04,102.485,
1999-05,102.471,
1999-06,106.340,
1999-07,107.216,
1999-08,105.957,
1999-09,108.233,
1999-10,105.574,
1999-11,106.594,
1999-12,104.071,
2000-01,107.332,
2000-02,109.556,
2000-03,112.260,
2000-04,112.232,
2000-05,109.374,
2000-06,109.137,
2000-07,108.895,
2000-08,126.503,
2000-09,122.751,
2000-10,125.515,
2000-11,126.385,
2000-12,120.976,
2001-01,132.399,
2001-02,136.288,
2001-03,138.807,
2001-04,135.175,
2001-05,136.517,
2001-06,137.354,
2001-07,138.007,
2001-08,133.016,
2001-09,125.275,
2001-10,125.896,
2001-11,128.796,
2001-12,126.519,
2002-01,137.910,
2002-02,137.002,
2002-03,137.852,
2002-04,142.291,
2002-05,149.251,
2002-06,142.731,
2002-07,137.056,
2002-08,136.159,
2002-09,139.717,
2002-10,137.812,
2002-11,132.230,
2002-12,129.490,
2003-01,139.455,
2003-02,140.816,
2003-03,144.188,
2003-04,152.727,
2003-05,156.555,
2003-06,153.814,
2003-07,155.644,
2003-08,148.203,
2003-09,153.767,
2003-10,153.465,
2003-11,153.809,
2003-12,147.633,
2004-01,157.917,
2004-02,156.892,
2004-03,162.182,
2004-04,158.519,
2004-05,157.317,
2004-06,160.788,
2004-07,161.410,
2004-08,161.538,
2004-09,165.174,
2004-10,164.409,
2004-11,163.387,
2004-12,164.160,
2005-01,165.116,
2005-02,166.587,
2005-03,175.685,
2005-04,173.153,
2005-05,170.024,
2005-06,169.344,
2005-07,172.579,
2005-08,175.804,
2005-09,180.285,
2005-10,185.476,
2005-11,180.807,
2005-12,175.532,
2006-01,177.279,
2006-02,187.237,
2006-03,192.497,
2006-04,194.387,
2006-05,195.703,
2006-06,195.540,
2006-07,190.553,
2006-08,197.054,
2006-09,203.053,
2006-10,204.675,
2006-11,208.329,
2006-12,207.868,
2007-01,215.510,
2007-02,220.174,
2007-03,230.848,
2007-04,231.989,
2007-05,235.832,
2007-06,243.742,
2007-07,243.381,
2007-08,241.126,
2007-09,243.638,
2007-10,254.508,
2007-11,264.789,
2007-12,251.718,
2008-01,263.007,
2008-02,269.770,
2008-03,281.124,
2008-04,280.388,
2008-05,283.666,
2008-06,282.994,
2008-07,286.500,
2008-08,283.823,
2008-09,291.656,
2008-10,292.077,
2008-11,292.167,
2008-12,281.518,
2009-01,283.160,
2009-02,280.766,
2009-03,296.133,
2009-04,293.678,
2009-05,293.584,
2009-06,293.314,
2009-07,290.436,
2009-08,292.911,
2009-09,297.985,
2009-10,307.498,
2009-11,313.980,
2009-12,321.991,
2010-01,317.632,
2010-02,325.121,
2010-03,328.972,
2010-04,337.073,
2010-05,340.376,
2010-06,345.358,
2010-07,352.723,
2010-08,359.434,
2010-09,359.033,
2010-10,366.788,
2010-11,372.095,
2010-12,366.774,
2011-01,384.029,
2011-02,380.290,
2011-03,385.880,
2011-04,384.728,
2011-05,402.858,
2011-06,396.053,
2011-07,409.782,
2011-08,414.905,
2011-09,423.311,
2011-10,409.480,
2011-11,407.003,
2011-12,372.493,
2012-01,399.214,
2012-02,397.379,
2012-03,393.646,
2012-04,391.908,
2012-05,400.992,
2012-06,401.177,
2012-07,395.816,
2012-08,390.172,
2012-09,400.298,
2012-10,393.639,
2012-11,402.862,
2012-12,392.642,
2013-01,411.178,
2013-02,414.981,
2013-03,423.967,
2013-04,426.469,
2013-05,428.145,
2013-06,442.550,
2013-07,427.441,
2013-08,421.661,
2013-09,425.450,
2013-10,427.175,
2013-11,430.570,
2013-12,422.440,
2014-01,425.225,
2014-02,432.298,
2014-03,446.992,
2014-04,439.385,
2014-05,454.196,
2014-06,452.328,
2014-07,446.399,
2014-08,453.341,
2014-09,458.430,
2014-10,451.050,
2014-11,456.701,
2014-12,443.742,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
