"",BBK01.OEAO01L,BBK01.OEAO01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:44,
2002-01,44.449,
2002-04,37.297,
2002-07,42.727,
2002-10,44.243,
2003-01,44.883,
2003-04,44.453,
2003-07,46.342,
2003-10,44.680,
2004-01,45.103,
2004-04,45.495,
2004-07,48.371,
2004-10,45.911,
2005-01,50.226,
2005-04,49.982,
2005-07,49.056,
2005-10,47.754,
2006-01,49.130,
2006-04,49.274,
2006-07,49.100,
2006-10,49.062,
2007-01,49.157,
2007-04,48.304,
2007-07,46.707,
2007-10,44.997,
2008-01,43.504,
2008-04,41.405,
2008-07,39.838,
2008-10,40.411,
2009-01,39.550,
2009-04,40.495,
2009-07,42.563,
2009-10,45.461,
2010-01,47.591,
2010-04,49.215,
2010-07,46.728,
2010-10,46.564,
2011-01,46.867,
2011-04,47.908,
2011-07,45.941,
2011-10,45.503,
2012-01,45.347,
2012-04,45.410,
2012-07,44.957,
2012-10,44.324,
2013-01,44.148,
2013-04,43.616,
2013-07,43.272,
2013-10,43.074,
2014-01,43.446,
2014-04,42.904,
2014-07,42.293,
