"",BBK01.OEYI03H,BBK01.OEYI03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:48,
2002-01,67.305,
2002-04,63.858,
2002-07,64.293,
2002-10,64.545,
2003-01,67.533,
2003-04,67.537,
2003-07,66.083,
2003-10,71.471,
2004-01,72.230,
2004-04,73.409,
2004-07,73.077,
2004-10,76.280,
2005-01,74.958,
2005-04,75.115,
2005-07,75.257,
2005-10,74.490,
2006-01,75.802,
2006-04,75.601,
2006-07,76.294,
2006-10,75.920,
2007-01,82.154,
2007-04,82.029,
2007-07,84.007,
2007-10,85.700,
2008-01,99.048,
2008-04,101.708,
2008-07,102.256,
2008-10,89.918,
2009-01,95.566,
2009-04,90.671,
2009-07,100.285,
2009-10,97.563,
2010-01,102.929,
2010-04,105.180,
2010-07,102.950,
2010-10,110.291,
2011-01,99.440,
2011-04,99.809,
2011-07,98.952,
2011-10,99.930,
2012-01,93.445,
2012-04,93.389,
2012-07,91.318,
2012-10,95.321,
2013-01,93.421,
2013-04,90.971,
2013-07,83.460,
2013-10,82.951,
2014-01,82.628,
2014-04,82.160,
2014-07,81.585,
