"",BBK01.OELB14S,BBK01.OELB14S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:24,
2002-01,0.139,
2002-04,0.138,
2002-07,0.134,
2002-10,0.130,
2003-01,0.131,
2003-04,0.132,
2003-07,0.130,
2003-10,0.121,
2004-01,0.124,
2004-04,0.124,
2004-07,0.115,
2004-10,0.101,
2005-01,0.107,
2005-04,0.101,
2005-07,0.103,
2005-10,0.093,
2006-01,0.096,
2006-04,0.097,
2006-07,0.092,
2006-10,0.082,
2007-01,0.086,
2007-04,0.080,
2007-07,0.077,
2007-10,0.078,
2008-01,0.076,
2008-04,0.078,
2008-07,0.076,
2008-10,0.074,
2009-01,0.076,
2009-04,0.076,
2009-07,0.076,
2009-10,0.079,
2010-01,0.088,
2010-04,0.087,
2010-07,0.079,
2010-10,0.074,
2011-01,0.082,
2011-04,0.083,
2011-07,0.081,
2011-10,0.077,
2012-01,0.088,
2012-04,0.092,
2012-07,0.085,
2012-10,0.076,
2013-01,0.084,
2013-04,0.088,
2013-07,0.082,
2013-10,0.073,
2014-01,0.079,
2014-04,0.084,
2014-07,0.079,
