"",BBFB1.Q.N.DE.R5.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:38,
1991-01,252.919,
1991-04,309.737,
1991-07,234.502,
1991-10,216.801,
1992-01,184.799,
1992-04,235.959,
1992-07,162.451,
1992-10,160.090,
1993-01,174.539,
1993-04,209.244,
1993-07,163.572,
1993-10,156.160,
1994-01,187.610,
1994-04,247.541,
1994-07,187.528,
1994-10,181.786,
1995-01,162.160,
1995-04,212.715,
1995-07,148.901,
1995-10,150.309,
1996-01,143.448,
1996-04,157.230,
1996-07,143.978,
1996-10,153.442,
1997-01,153.045,
1997-04,243.809,
1997-07,211.760,
1997-10,185.131,
1998-01,164.855,
1998-04,919.779,
1998-07,151.826,
1998-10,131.063,
1999-01,134.495,
1999-04,340.336,
1999-07,155.814,
1999-10,174.363,
2000-01,207.123,
2000-04,395.980,
2000-07,233.280,
2000-10,230.419,
2001-01,152.709,
2001-04,299.673,
2001-07,128.145,
2001-10,131.291,
2002-01,187.533,
2002-04,261.099,
2002-07,180.324,
2002-10,192.517,
2003-01,174.131,
2003-04,285.178,
2003-07,149.598,
2003-10,111.789,
2004-01,98.610,
2004-04,224.920,
2004-07,100.233,
2004-10,111.495,
2005-01,198.617,
2005-04,367.233,
2005-07,271.966,
2005-10,300.381,
2006-01,278.879,
2006-04,378.681,
2006-07,321.201,
2006-10,346.377,
2007-01,419.529,
2007-04,500.172,
2007-07,388.878,
2007-10,355.801,
2008-01,387.485,
2008-04,374.781,
2008-07,121.182,
2008-10,132.004,
2009-01,117.197,
2009-04,135.055,
2009-07,72.197,
2009-10,77.247,
2010-01,85.736,
2010-04,95.242,
2010-07,105.048,
2010-10,107.568,
2011-01,93.435,
2011-04,135.420,
2011-07,101.838,
2011-10,94.597,
2012-01,85.932,
2012-04,146.763,
2012-07,61.594,
2012-10,47.842,
2013-01,68.122,
2013-04,165.824,
2013-07,72.860,
2013-10,66.604,
2014-01,66.341,Provisional value
2014-04,170.762,Provisional value
2014-07,61.850,Provisional value
