"",BBK01.OEYM01I,BBK01.OEYM01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:31,
2002-01,7.197,
2002-04,7.365,
2002-07,7.328,
2002-10,7.265,
2003-01,7.846,
2003-04,7.666,
2003-07,7.152,
2003-10,7.512,
2004-01,7.419,
2004-04,8.074,
2004-07,8.421,
2004-10,8.051,
2005-01,8.326,
2005-04,8.622,
2005-07,8.447,
2005-10,8.285,
2006-01,8.647,
2006-04,8.842,
2006-07,8.064,
2006-10,8.390,
2007-01,7.558,
2007-04,7.097,
2007-07,9.691,
2007-10,7.795,
2008-01,7.304,
2008-04,7.813,
2008-07,7.719,
2008-10,7.612,
2009-01,7.559,
2009-04,7.592,
2009-07,7.479,
2009-10,7.322,
2010-01,8.171,
2010-04,8.406,
2010-07,7.796,
2010-10,7.742,
2011-01,7.451,
2011-04,8.638,
2011-07,10.178,
2011-10,8.677,
2012-01,8.719,
2012-04,10.754,
2012-07,9.480,
2012-10,10.525,
2013-01,10.735,
2013-04,12.732,
2013-07,11.907,
2013-10,10.939,
2014-01,10.935,
2014-04,12.375,
2014-07,12.514,
