"",BBFN1.M.DE.N.1.L.HU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Hungary,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:50,
1995-01,0.021,
1995-02,0.020,
1995-03,0.019,
1995-04,0.018,
1995-05,0.008,
1995-06,0.007,
1995-07,0.008,
1995-08,0.007,
1995-09,0.007,
1995-10,0.005,
1995-11,0.007,
1995-12,0.002,
1996-01,0.005,
1996-02,0.005,
1996-03,0.008,
1996-04,0.017,
1996-05,0.019,
1996-06,0.017,
1996-07,0.016,
1996-08,0.013,
1996-09,0.012,
1996-10,0.016,
1996-11,0.020,
1996-12,0.018,
1997-01,0.016,
1997-02,0.016,
1997-03,0.014,
1997-04,0.013,
1997-05,0.012,
1997-06,0.029,
1997-07,0.027,
1997-08,0.029,
1997-09,0.021,
1997-10,0.018,
1997-11,0.038,
1997-12,0.030,
1998-01,0.020,
1998-02,0.044,
1998-03,0.037,
1998-04,0.032,
1998-05,0.022,
1998-06,0.044,
1998-07,0.035,
1998-08,0.056,
1998-09,0.053,
1998-10,0.082,
1998-11,0.071,
1998-12,0.078,
1999-01,0.101,
1999-02,0.149,
1999-03,0.096,
1999-04,0.064,
1999-05,0.068,
1999-06,0.075,
1999-07,0.053,
1999-08,0.082,
1999-09,0.071,
1999-10,0.080,
1999-11,0.083,
1999-12,0.079,
2000-01,0.144,
2000-02,0.052,
2000-03,0.056,
2000-04,0.111,
2000-05,0.096,
2000-06,0.185,
2000-07,0.250,
2000-08,0.345,
2000-09,0.341,
2000-10,0.368,
2000-11,0.379,
2000-12,0.350,
2001-01,0.512,
2001-02,0.556,
2001-03,0.616,
2001-04,0.654,
2001-05,0.675,
2001-06,0.680,
2001-07,0.696,
2001-08,0.716,
2001-09,0.849,
2001-10,0.871,
2001-11,0.941,
2001-12,0.888,
2002-01,0.854,
2002-02,0.941,
2002-03,1.012,
2002-04,1.034,
2002-05,1.062,
2002-06,1.124,
2002-07,1.124,
2002-08,1.120,
2002-09,1.213,
2002-10,1.357,
2002-11,1.232,
2002-12,1.313,
2003-01,1.191,
2003-02,1.203,
2003-03,1.253,
2003-04,1.281,
2003-05,1.341,
2003-06,1.361,
2003-07,1.333,
2003-08,1.443,
2003-09,1.543,
2003-10,1.424,
2003-11,1.508,
2003-12,1.438,
2004-01,1.342,
2004-02,1.358,
2004-03,1.442,
2004-04,1.385,
2004-05,1.444,
2004-06,1.495,
2004-07,1.377,
2004-08,1.480,
2004-09,1.560,
2004-10,1.504,
2004-11,1.619,
2004-12,1.597,
2005-01,2.097,
2005-02,2.130,
2005-03,1.950,
2005-04,1.900,
2005-05,4.873,
2005-06,4.879,
2005-07,4.873,
2005-08,4.973,
2005-09,4.960,
2005-10,4.957,
2005-11,4.998,
2005-12,5.054,
2006-01,2.111,
2006-02,2.232,
2006-03,2.163,
2006-04,2.217,
2006-05,2.271,
2006-06,2.349,
2006-07,2.308,
2006-08,2.516,
2006-09,2.487,
2006-10,2.623,
2006-11,2.579,
2006-12,2.769,
2007-01,2.743,
2007-02,2.767,
2007-03,2.886,
2007-04,2.943,
2007-05,3.070,
2007-06,3.071,
2007-07,3.257,
2007-08,3.381,
2007-09,2.740,
2007-10,2.085,
2007-11,2.101,
2007-12,2.136,
2008-01,2.133,
2008-02,1.796,
2008-03,2.050,
2008-04,1.978,
2008-05,2.011,
2008-06,1.677,
2008-07,1.521,
2008-08,1.449,
2008-09,1.493,
2008-10,1.565,
2008-11,1.964,
2008-12,1.793,
2009-01,1.619,
2009-02,1.554,
2009-03,1.668,
2009-04,1.648,
2009-05,1.666,
2009-06,1.193,
2009-07,1.273,
2009-08,1.196,
2009-09,1.041,
2009-10,1.090,
2009-11,1.246,
2009-12,1.558,
2010-01,1.636,
2010-02,1.861,
2010-03,1.647,
2010-04,1.565,
2010-05,1.268,
2010-06,1.334,
2010-07,1.301,
2010-08,1.281,
2010-09,1.385,
2010-10,1.347,
2010-11,1.309,
2010-12,1.254,
2011-01,1.124,
2011-02,1.182,
2011-03,1.131,
2011-04,1.131,
2011-05,1.213,
2011-06,1.219,
2011-07,1.116,
2011-08,1.175,
2011-09,1.134,
2011-10,1.117,
2011-11,1.201,
2011-12,1.767,
2012-01,1.434,
2012-02,1.477,
2012-03,1.567,
2012-04,1.541,
2012-05,1.216,
2012-06,1.247,
2012-07,1.464,
2012-08,1.491,
2012-09,1.525,
2012-10,1.575,
2012-11,1.279,
2012-12,1.307,
2013-01,1.278,
2013-02,1.257,
2013-03,1.357,
2013-04,1.566,
2013-05,2.177,
2013-06,1.910,
2013-07,1.879,
2013-08,1.860,
2013-09,1.780,
2013-10,1.897,
2013-11,1.809,
2013-12,1.856,
2014-01,1.648,
2014-02,1.712,
2014-03,1.758,
2014-04,1.803,
2014-05,1.853,
2014-06,1.891,
2014-07,1.865,
2014-08,1.962,
2014-09,1.896,
2014-10,1.964,
2014-11,1.975,
2014-12,1.952,
