"",BBK01.OEYM03T,BBK01.OEYM03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:47,
2002-01,0.003,
2002-04,0.005,
2002-07,0.006,
2002-10,0.008,
2003-01,0.003,
2003-04,0.008,
2003-07,0.006,
2003-10,0.002,
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,0.013,
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,-,Nothing exists
2005-10,-,Nothing exists
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,0.044,
2008-04,0.143,
2008-07,0.063,
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,0.013,
2009-10,0.027,
2010-01,0.096,
2010-04,0.029,
2010-07,0.024,
2010-10,0.024,
2011-01,0.018,
2011-04,0.015,
2011-07,0.072,
2011-10,0.028,
2012-01,0.328,
2012-04,0.022,
2012-07,0.284,
2012-10,0.219,
2013-01,0.039,
2013-04,0.033,
2013-07,0.050,
2013-10,0.070,
2014-01,0.078,
2014-04,0.078,
2014-07,0.076,
