"",BBK01.OEAH07J,BBK01.OEAH07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:57,
2002-01,7.843,
2002-04,7.945,
2002-07,8.054,
2002-10,8.213,
2003-01,8.014,
2003-04,8.154,
2003-07,8.359,
2003-10,8.565,
2004-01,8.926,
2004-04,9.205,
2004-07,9.644,
2004-10,9.981,
2005-01,10.633,
2005-04,10.872,
2005-07,11.151,
2005-10,11.918,
2006-01,11.754,
2006-04,12.066,
2006-07,12.456,
2006-10,11.089,
2007-01,11.487,
2007-04,11.535,
2007-07,11.741,
2007-10,11.914,
2008-01,12.002,
2008-04,12.156,
2008-07,12.076,
2008-10,12.086,
2009-01,12.359,
2009-04,12.493,
2009-07,12.472,
2009-10,12.584,
2010-01,12.605,
2010-04,12.388,
2010-07,12.176,
2010-10,12.163,
2011-01,12.187,
2011-04,12.211,
2011-07,12.056,
2011-10,11.870,
2012-01,11.862,
2012-04,11.624,
2012-07,11.294,
2012-10,11.010,
2013-01,10.811,
2013-04,9.267,
2013-07,8.217,
2013-10,8.062,
2014-01,6.309,
2014-04,6.088,
2014-07,5.570,
