"",BBK01.OEAA19V,BBK01.OEAA19V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:09,
2002-01,3.872,
2002-04,3.979,
2002-07,3.798,
2002-10,3.750,
2003-01,3.594,
2003-04,3.350,
2003-07,3.175,
2003-10,3.128,
2004-01,3.144,
2004-04,3.097,
2004-07,3.059,
2004-10,2.905,
2005-01,2.839,
2005-04,2.807,
2005-07,2.784,
2005-10,2.537,
2006-01,2.634,
2006-04,2.464,
2006-07,2.396,
2006-10,2.367,
2007-01,2.237,
2007-04,2.250,
2007-07,2.317,
2007-10,2.358,
2008-01,2.447,
2008-04,2.262,
2008-07,2.463,
2008-10,2.285,
2009-01,2.155,
2009-04,2.231,
2009-07,2.066,
2009-10,2.036,
2010-01,2.061,
2010-04,2.091,
2010-07,2.022,
2010-10,1.943,
2011-01,1.772,
2011-04,1.896,
2011-07,2.031,
2011-10,1.974,
2012-01,1.900,
2012-04,1.903,
2012-07,1.943,
2012-10,1.943,
2013-01,2.031,
2013-04,1.905,
2013-07,2.103,
2013-10,1.962,
2014-01,1.854,
2014-04,2.198,
2014-07,2.202,
