"",BBK01.OEXM01T,BBK01.OEXM01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:33,
2002-01,0.218,
2002-04,0.210,
2002-07,0.239,
2002-10,0.180,
2003-01,0.191,
2003-04,0.210,
2003-07,0.198,
2003-10,0.170,
2004-01,0.190,
2004-04,0.199,
2004-07,0.200,
2004-10,0.213,
2005-01,0.220,
2005-04,0.258,
2005-07,0.263,
2005-10,0.279,
2006-01,0.298,
2006-04,0.386,
2006-07,0.413,
2006-10,0.411,
2007-01,0.418,
2007-04,0.451,
2007-07,0.470,
2007-10,0.408,
2008-01,0.381,
2008-04,0.398,
2008-07,0.353,
2008-10,0.392,
2009-01,0.439,
2009-04,0.463,
2009-07,0.415,
2009-10,0.391,
2010-01,0.361,
2010-04,0.377,
2010-07,0.352,
2010-10,0.363,
2011-01,0.339,
2011-04,0.345,
2011-07,0.335,
2011-10,0.352,
2012-01,0.423,
2012-04,0.406,
2012-07,0.434,
2012-10,0.440,
2013-01,0.436,
2013-04,0.449,
2013-07,0.449,
2013-10,0.382,
2014-01,0.391,
2014-04,0.391,
2014-07,0.373,
