"",BBEX3.M.BWP.EUR.CM.AA.A01,BBEX3.M.BWP.EUR.CM.AA.A01_FLAGS
"",Exchange rates for the euro in Botswana / BWP 1 = EUR ... (buying),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:29,
1999-01,0.1933,
1999-02,0.1954,
1999-03,0.1998,
1999-04,0.2040,
1999-05,0.2036,
1999-06,0.2095,
1999-07,0.2016,
1999-08,0.2065,
1999-09,0.2083,
1999-10,0.2075,
1999-11,0.2133,
1999-12,0.2148,
2000-01,0.2164,
2000-02,0.2157,
2000-03,0.2155,
2000-04,0.2180,
2000-05,0.2059,
2000-06,0.2043,
2000-07,0.2086,
2000-08,0.2177,
2000-09,0.2166,
2000-10,0.2204,
2000-11,0.2113,
2000-12,0.2006,
2001-01,0.1963,
2001-02,0.2003,
2001-03,0.2016,
2001-04,0.2005,
2001-05,0.2096,
2001-06,0.2081,
2001-07,0.1991,
2001-08,0.1900,
2001-09,0.1829,
2001-10,0.1785,
2001-11,0.1720,
2001-12,0.1612,
2002-01,0.1704,
2002-02,0.1707,
2002-03,0.1693,
2002-04,0.1724,
2002-05,0.1769,
2002-06,0.1614,
2002-07,0.1665,
2002-08,0.1614,
2002-09,0.1624,
2002-10,0.1673,
2002-11,0.1744,
2002-12,0.1752,
2003-01,0.1706,
2003-02,0.1764,
2003-03,0.1782,
2003-04,0.1867,
2003-05,0.1642,
2003-06,0.1790,
2003-07,0.1795,
2003-08,0.1883,
2003-09,0.1836,
2003-10,0.1859,
2003-11,0.1902,
2003-12,0.1789,
2004-01,0.1746,
2004-02,0.1670,
2004-03,0.1754,
2004-04,0.1691,
2004-05,0.1719,
2004-06,0.1765,
2004-07,0.1785,
2004-08,0.1700,
2004-09,0.1712,
2004-10,0.1723,
2004-11,0.1731,
2004-12,0.1719,
2005-01,0.1727,
2005-02,0.1732,
2005-03,0.1680,
2005-04,0.1708,
2005-05,0.1480,comment
2005-06,0.1511,
2005-07,0.1503,
2005-08,0.1507,
2005-09,0.1537,
2005-10,0.1479,
2005-11,0.1530,
2005-12,0.1542,
2006-01,0.1542,
2006-02,0.1552,
2006-03,0.1513,
2006-04,0.1475,
2006-05,0.1367,
2006-06,0.1309,
2006-07,0.1334,
2006-08,0.1297,
2006-09,0.1232,
2006-10,0.1247,
2006-11,0.1234,
2006-12,0.1263,
2007-01,0.1246,
2007-02,0.1223,
2007-03,0.1207,
2007-04,0.1199,
2007-05,0.1203,
2007-06,0.1203,
2007-07,0.1185,
2007-08,0.1183,
2007-09,0.1171,
2007-10,0.1184,
2007-11,0.1139,
2007-12,0.1135,
2008-01,0.1076,
2008-02,0.1025,
2008-03,0.0964,
2008-04,0.1010,
2008-05,0.1011,
2008-06,0.0974,
2008-07,0.1016,
2008-08,0.1037,
2008-09,0.1015,
2008-10,0.0995,
2008-11,0.0989,
2008-12,0.0951,
2009-01,0.0978,
2009-02,0.0995,
2009-03,0.0969,
2009-04,0.1044,
2009-05,0.1036,
2009-06,0.1046,
2009-07,0.1041,
2009-08,0.1028,
2009-09,0.1039,
2009-10,0.0999,
2009-11,0.1012,
2009-12,0.1042,
2010-01,0.1051,
2010-02,0.1061,
2010-03,0.1100,
2010-04,0.1108,
2010-05,0.1152,
2010-06,0.1161,
2010-07,0.1123,
2010-08,0.1147,
2010-09,0.1117,
2010-10,0.1095,
2010-11,0.1138,
2010-12,0.1160,
2011-01,0.1088,
2011-02,0.1091,
2011-03,0.1081,
2011-04,0.1059,
2011-05,0.1057,
2011-06,0.1058,
2011-07,0.1074,
2011-08,0.1037,
2011-09,0.1014,
2011-10,0.0991,
2011-11,0.0996,
2011-12,0.1032,
2012-01,0.1038,
2012-02,0.1049,
2012-03,0.1032,
2012-04,0.1036,
2012-05,0.1028,
2012-06,0.1029,
2012-07,0.1059,
2012-08,0.1022,
2012-09,0.1011,
2012-10,0.0979,
2012-11,0.0969,
2012-12,0.0977,
2013-01,0.0923,
2013-02,0.0947,
2013-03,0.0948,
2013-04,0.0944,
2013-05,0.0887,
2013-06,0.0889,
2013-07,0.0886,
2013-08,0.0865,
2013-09,0.0862,
2013-10,0.0862,
2013-11,0.0852,
2013-12,0.0828,
2014-01,0.0810,
2014-02,0.0821,
2014-03,0.0828,
2014-04,0.0826,
2014-05,0.0840,
2014-06,0.0834,
2014-07,0.0843,
2014-08,0.0855,
2014-09,0.0851,
2014-10,0.0873,
2014-11,0.0873,
2014-12,0.0867,
2015-01,0.0920,
"","Source: Bank of Botswana, Gaborone.",
"","Comment on 2005-05: On 30 May 2005, Botswana's currency was devalued by 12% against the reference basket of currencies. We recorded the following exchange rates (buying/selling rate).  27 May 2005: BWP 1 = EUR 0,1664 / 0,1659  30 May 2005: BWP 1 = EUR 0,1478 / 0,1463.  Calculated devaluation: 11.5% (middle rate).",
