"",BBK01.OECI03N,BBK01.OECI03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:35,
2002-01,10.764,
2002-04,10.636,
2002-07,10.681,
2002-10,11.264,
2003-01,10.412,
2003-04,10.057,
2003-07,8.893,
2003-10,8.800,
2004-01,8.375,
2004-04,8.324,
2004-07,9.436,
2004-10,9.598,
2005-01,16.099,
2005-04,14.990,
2005-07,12.542,
2005-10,13.427,
2006-01,15.317,
2006-04,17.307,
2006-07,17.360,
2006-10,16.472,
2007-01,17.217,
2007-04,18.369,
2007-07,22.874,
2007-10,25.901,
2008-01,27.728,
2008-04,28.205,
2008-07,28.582,
2008-10,37.357,
2009-01,30.123,
2009-04,26.522,
2009-07,29.282,
2009-10,22.565,
2010-01,17.647,
2010-04,25.109,
2010-07,18.117,
2010-10,21.874,
2011-01,18.391,
2011-04,24.045,
2011-07,21.684,
2011-10,27.876,
2012-01,22.681,
2012-04,27.825,
2012-07,27.472,
2012-10,18.084,
2013-01,16.461,
2013-04,15.617,
2013-07,14.825,
2013-10,12.095,
2014-01,13.166,
2014-04,13.571,
2014-07,11.769,
