"",BBK01.SUD007,BBK01.SUD007_FLAGS
"",Effective interest rates of German banks / Outstanding amounts / Housing loans to households with maturity of over 1 year and up to 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 10:26:36,
2003-01,5.46,
2003-02,5.45,
2003-03,5.41,
2003-04,5.36,
2003-05,5.32,
2003-06,5.27,
2003-07,5.20,
2003-08,5.15,
2003-09,5.11,
2003-10,5.07,
2003-11,5.04,
2003-12,5.01,
2004-01,4.97,
2004-02,4.96,
2004-03,4.90,
2004-04,4.87,
2004-05,4.84,
2004-06,4.83,
2004-07,4.77,
2004-08,4.75,
2004-09,4.72,
2004-10,4.67,
2004-11,4.65,
2004-12,4.63,
2005-01,4.60,
2005-02,4.58,
2005-03,4.56,
2005-04,4.58,
2005-05,4.56,
2005-06,4.53,
2005-07,4.49,
2005-08,4.46,
2005-09,4.40,
2005-10,4.37,
2005-11,4.35,
2005-12,4.33,
2006-01,4.31,
2006-02,4.31,
2006-03,4.30,
2006-04,4.31,
2006-05,4.31,
2006-06,4.32,
2006-07,4.32,
2006-08,4.32,
2006-09,4.33,
2006-10,4.35,
2006-11,4.36,
2006-12,4.36,
2007-01,4.38,
2007-02,4.39,
2007-03,4.41,
2007-04,4.43,
2007-05,4.44,
2007-06,4.45,
2007-07,4.48,
2007-08,4.50,
2007-09,4.53,
2007-10,4.56,
2007-11,4.59,
2007-12,4.61,
2008-01,4.62,
2008-02,4.65,
2008-03,4.66,
2008-04,4.67,
2008-05,4.69,
2008-06,4.71,
2008-07,4.76,
2008-08,4.78,
2008-09,4.82,
2008-10,4.86,
2008-11,4.87,
2008-12,4.84,
2009-01,4.77,
2009-02,4.73,
2009-03,4.65,
2009-04,4.57,
2009-05,4.54,
2009-06,4.49,
2009-07,4.44,
2009-08,4.41,
2009-09,4.38,
2009-10,4.35,
2009-11,4.33,
2009-12,4.28,
2010-01,4.26,
2010-02,4.25,
2010-03,4.22,
2010-04,4.20,
2010-05,4.17,
2010-06,4.17,
2010-07,4.14,
2010-08,4.10,
2010-09,4.07,
2010-10,4.05,
2010-11,4.01,
2010-12,3.97,
2011-01,3.95,
2011-02,3.92,
2011-03,3.89,
2011-04,3.88,
2011-05,3.87,
2011-06,3.86,
2011-07,3.87,
2011-08,3.86,
2011-09,3.85,
2011-10,3.83,
2011-11,3.81,
2011-12,3.78,
2012-01,3.75,
2012-02,3.73,
2012-03,3.70,
2012-04,3.65,
2012-05,3.62,
2012-06,3.61,
2012-07,3.57,
2012-08,3.54,
2012-09,3.52,
2012-10,3.47,
2012-11,3.44,
2012-12,3.41,
2013-01,3.39,
2013-02,3.37,
2013-03,3.34,
2013-04,3.31,
2013-05,3.28,
2013-06,3.26,
2013-07,3.22,
2013-08,3.20,
2013-09,3.18,
2013-10,3.15,
2013-11,3.13,
2013-12,3.12,
2014-01,3.10,
2014-02,3.08,
2014-03,3.06,
2014-04,3.03,
2014-05,3.01,
2014-06,2.99,
2014-07,2.96,
2014-08,2.94,
2014-09,2.91,
2014-10,2.87,
2014-11,2.84,
2014-12,2.82,Provisional value
"","General: Volume-weighted average interest rates on outstanding amounts as end-of-period. The effective interest rates are calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account. p = Provisional",
