"",BBK01.OEAE08J,BBK01.OEAE08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:35,
2002-01,0.368,
2002-04,0.464,
2002-07,0.471,
2002-10,0.369,
2003-01,0.390,
2003-04,0.364,
2003-07,0.361,
2003-10,0.349,
2004-01,0.352,
2004-04,0.347,
2004-07,0.350,
2004-10,0.380,
2005-01,0.415,
2005-04,0.401,
2005-07,0.403,
2005-10,0.408,
2006-01,0.419,
2006-04,0.421,
2006-07,0.416,
2006-10,0.441,
2007-01,0.387,
2007-04,0.396,
2007-07,0.413,
2007-10,0.426,
2008-01,0.415,
2008-04,0.301,
2008-07,0.328,
2008-10,0.134,
2009-01,0.134,
2009-04,0.116,
2009-07,0.130,
2009-10,0.132,
2010-01,0.096,
2010-04,0.111,
2010-07,0.105,
2010-10,0.098,
2011-01,0.103,
2011-04,0.098,
2011-07,0.104,
2011-10,0.118,
2012-01,0.096,
2012-04,0.099,
2012-07,0.100,
2012-10,0.100,
2013-01,0.091,
2013-04,0.087,
2013-07,0.079,
2013-10,0.066,
2014-01,0.063,
2014-04,0.066,
2014-07,0.073,
