"",BBK01.OEXB04H,BBK01.OEXB04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:01,
2002-01,9.584,
2002-04,9.815,
2002-07,10.052,
2002-10,10.028,
2003-01,10.249,
2003-04,10.240,
2003-07,10.435,
2003-10,10.886,
2004-01,10.444,
2004-04,10.922,
2004-07,10.612,
2004-10,9.139,
2005-01,9.403,
2005-04,9.639,
2005-07,9.938,
2005-10,10.233,
2006-01,9.579,
2006-04,9.871,
2006-07,10.111,
2006-10,10.584,
2007-01,10.777,
2007-04,10.921,
2007-07,11.219,
2007-10,11.355,
2008-01,11.655,
2008-04,11.830,
2008-07,12.205,
2008-10,12.135,
2009-01,12.292,
2009-04,12.857,
2009-07,13.130,
2009-10,13.304,
2010-01,13.393,
2010-04,13.874,
2010-07,14.026,
2010-10,13.799,
2011-01,14.091,
2011-04,14.261,
2011-07,14.614,
2011-10,15.349,
2012-01,16.388,
2012-04,16.762,
2012-07,17.232,
2012-10,17.421,
2013-01,17.598,
2013-04,17.914,
2013-07,18.397,
2013-10,18.486,
2014-01,18.749,
2014-04,19.095,
2014-07,19.386,
