"",BBK01.OEXB06H,BBK01.OEXB06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:02,
2002-01,9.473,
2002-04,9.439,
2002-07,8.724,
2002-10,9.003,
2003-01,8.541,
2003-04,9.183,
2003-07,9.592,
2003-10,9.567,
2004-01,7.023,
2004-04,6.739,
2004-07,6.728,
2004-10,6.267,
2005-01,6.357,
2005-04,5.839,
2005-07,5.878,
2005-10,5.809,
2006-01,6.024,
2006-04,6.234,
2006-07,6.196,
2006-10,6.242,
2007-01,6.341,
2007-04,6.429,
2007-07,6.237,
2007-10,6.869,
2008-01,6.575,
2008-04,6.465,
2008-07,6.848,
2008-10,6.084,
2009-01,6.077,
2009-04,6.086,
2009-07,6.362,
2009-10,5.767,
2010-01,5.927,
2010-04,5.930,
2010-07,5.913,
2010-10,5.438,
2011-01,5.843,
2011-04,5.897,
2011-07,5.990,
2011-10,6.097,
2012-01,6.399,
2012-04,6.296,
2012-07,6.062,
2012-10,6.419,
2013-01,5.794,
2013-04,5.892,
2013-07,6.008,
2013-10,6.321,
2014-01,6.634,
2014-04,6.295,
2014-07,6.590,
