"",BBK01.OEAA32G,BBK01.OEAA32G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:32,
2002-01,0.631,
2002-04,0.629,
2002-07,0.622,
2002-10,0.623,
2003-01,0.606,
2003-04,0.607,
2003-07,0.598,
2003-10,0.591,
2004-01,0.581,
2004-04,0.572,
2004-07,0.563,
2004-10,0.771,
2005-01,0.340,
2005-04,0.337,
2005-07,0.330,
2005-10,0.324,
2006-01,0.309,
2006-04,0.303,
2006-07,0.299,
2006-10,0.290,
2007-01,0.282,
2007-04,0.276,
2007-07,0.269,
2007-10,0.261,
2008-01,0.254,
2008-04,0.248,
2008-07,0.239,
2008-10,0.227,
2009-01,0.216,
2009-04,0.207,
2009-07,0.196,
2009-10,0.187,
2010-01,0.175,
2010-04,0.164,
2010-07,0.156,
2010-10,0.162,
2011-01,0.156,
2011-04,0.158,
2011-07,0.151,
2011-10,0.162,
2012-01,0.162,
2012-04,0.164,
2012-07,0.151,
2012-10,0.145,
2013-01,0.133,
2013-04,0.128,
2013-07,0.121,
2013-10,0.118,
2014-01,0.106,
2014-04,0.100,
2014-07,0.094,
