"",BBK01.OELB24L,BBK01.OELB24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:04,
2002-01,0.179,
2002-04,0.170,
2002-07,0.169,
2002-10,0.239,
2003-01,0.539,
2003-04,0.627,
2003-07,0.653,
2003-10,0.641,
2004-01,0.571,
2004-04,0.579,
2004-07,0.581,
2004-10,0.586,
2005-01,0.606,
2005-04,0.641,
2005-07,0.658,
2005-10,0.656,
2006-01,0.657,
2006-04,0.662,
2006-07,0.662,
2006-10,0.664,
2007-01,0.668,
2007-04,0.608,
2007-07,0.613,
2007-10,0.500,
2008-01,0.390,
2008-04,0.385,
2008-07,0.297,
2008-10,0.293,
2009-01,0.301,
2009-04,0.308,
2009-07,0.345,
2009-10,0.348,
2010-01,0.350,
2010-04,0.431,
2010-07,0.350,
2010-10,0.423,
2011-01,0.399,
2011-04,0.409,
2011-07,0.401,
2011-10,0.479,
2012-01,0.571,
2012-04,0.544,
2012-07,0.552,
2012-10,0.564,
2013-01,0.605,
2013-04,0.620,
2013-07,0.632,
2013-10,0.645,
2014-01,0.685,
2014-04,0.689,
2014-07,0.698,
