"",BBK01.OEAB23K,BBK01.OEAB23K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:06,
2002-01,0.835,
2002-04,0.746,
2002-07,0.647,
2002-10,1.283,
2003-01,1.255,
2003-04,1.277,
2003-07,1.277,
2003-10,1.408,
2004-01,0.713,
2004-04,0.616,
2004-07,0.628,
2004-10,0.576,
2005-01,0.552,
2005-04,0.469,
2005-07,0.449,
2005-10,0.468,
2006-01,0.649,
2006-04,0.648,
2006-07,0.631,
2006-10,0.500,
2007-01,0.545,
2007-04,1.135,
2007-07,1.137,
2007-10,1.328,
2008-01,1.334,
2008-04,1.307,
2008-07,1.283,
2008-10,1.185,
2009-01,1.095,
2009-04,0.862,
2009-07,0.852,
2009-10,0.828,
2010-01,0.795,
2010-04,0.795,
2010-07,0.789,
2010-10,0.760,
2011-01,0.818,
2011-04,0.630,
2011-07,0.537,
2011-10,0.461,
2012-01,0.193,
2012-04,0.131,
2012-07,0.726,
2012-10,0.852,
2013-01,0.901,
2013-04,0.966,
2013-07,1.039,
2013-10,1.048,
2014-01,1.074,
2014-04,1.089,
2014-07,1.023,
