"",BBFB1.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net direct investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:28,
1991-01,1519.861,
1991-02,14.736,
1991-03,1499.753,
1991-04,856.679,
1991-05,905.406,
1991-06,1368.434,
1991-07,2620.681,
1991-08,495.949,
1991-09,1188.249,
1991-10,651.123,
1991-11,524.154,
1991-12,4088.081,
1992-01,542.205,
1992-02,1162.965,
1992-03,937.410,
1992-04,1184.465,
1992-05,1285.598,
1992-06,1328.151,
1992-07,1305.805,
1992-08,1105.402,
1992-09,2169.108,
1992-10,485.370,
1992-11,707.881,
1992-12,4602.817,
1993-01,1443.615,
1993-02,-18.260,
1993-03,1349.186,
1993-04,786.265,
1993-05,506.531,
1993-06,1048.767,
1993-07,1232.325,
1993-08,1072.563,
1993-09,1033.511,
1993-10,893.113,
1993-11,1127.466,
1993-12,4104.781,
1994-01,651.940,
1994-02,348.205,
1994-03,2158.410,
1994-04,957.580,
1994-05,672.629,
1994-06,1330.127,
1994-07,415.510,
1994-08,705.829,
1994-09,104.234,
1994-10,898.447,
1994-11,256.162,
1994-12,1793.851,
1995-01,2692.436,
1995-02,289.878,
1995-03,2644.470,
1995-04,3065.700,
1995-05,1447.986,
1995-06,3263.407,
1995-07,-1064.705,
1995-08,1697.191,
1995-09,-113.814,
1995-10,-110.529,
1995-11,2047.972,
1995-12,4426.188,
1996-01,6058.849,
1996-02,2193.234,
1996-03,3164.151,
1996-04,2262.195,
1996-05,2793.052,
1996-06,3720.998,
1996-07,3100.930,
1996-08,937.097,
1996-09,2218.435,
1996-10,2563.049,
1996-11,3785.245,
1996-12,1732.559,
1997-01,9038.543,
1997-02,91.360,
1997-03,1939.916,
1997-04,2051.622,
1997-05,5123.861,
1997-06,1062.549,
1997-07,2720.580,
1997-08,2947.763,
1997-09,-186.352,
1997-10,5802.031,
1997-11,-2545.247,
1997-12,-1006.919,
1998-01,6376.965,
1998-02,691.782,
1998-03,-3621.179,
1998-04,8269.582,
1998-05,-1013.216,
1998-06,-795.156,
1998-07,7307.268,
1998-08,2574.010,
1998-09,2744.975,
1998-10,4212.618,
1998-11,32358.914,
1998-12,-254.499,
1999-01,-93.559,
1999-02,8133.623,
1999-03,3994.437,
1999-04,5403.596,
1999-05,9603.757,
1999-06,11497.135,
1999-07,-2119.319,
1999-08,5754.640,
1999-09,-1929.882,
1999-10,4095.904,
1999-11,8834.607,
1999-12,-3233.101,
2000-01,4512.112,
2000-02,-127869.392,
2000-03,-6659.362,
2000-04,5260.362,
2000-05,13652.382,
2000-06,-21034.108,
2000-07,-9305.196,
2000-08,-9369.592,
2000-09,-15655.700,
2000-10,4082.625,
2000-11,1327.015,
2000-12,7807.543,
2001-01,7076.148,
2001-02,-10849.898,
2001-03,13645.107,
2001-04,-4328.304,
2001-05,36276.939,
2001-06,-8078.656,
2001-07,-11623.401,
2001-08,1138.818,
2001-09,-3698.774,
2001-10,6912.215,
2001-11,2072.352,
2001-12,-13470.213,
2002-01,-9692.505,
2002-02,1483.978,
2002-03,-4183.531,
2002-04,-9891.791,
2002-05,-19355.631,
2002-06,13377.648,
2002-07,9262.651,
2002-08,-3023.136,
2002-09,3201.544,
2002-10,379.708,
2002-11,-5117.167,
2002-12,-13184.469,
2003-01,5421.665,
2003-02,434.582,
2003-03,-8661.783,
2003-04,-3090.498,
2003-05,-6982.402,
2003-06,-8677.465,
2003-07,-6086.465,
2003-08,-2926.273,
2003-09,-4177.804,
2003-10,13566.636,
2003-11,-5232.603,
2003-12,2659.008,
2004-01,11972.233,
2004-02,-1537.809,
2004-03,6067.698,
2004-04,1379.016,
2004-05,1579.006,
2004-06,4929.952,
2004-07,-313.770,
2004-08,6021.168,
2004-09,5872.389,
2004-10,3317.697,
2004-11,3082.394,
2004-12,-17803.346,
2005-01,7844.362,
