"",BBK01.OEBB18V,BBK01.OEBB18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:16,
2002-01,0.277,
2002-04,0.279,
2002-07,0.282,
2002-10,0.283,
2003-01,0.273,
2003-04,0.254,
2003-07,0.261,
2003-10,0.250,
2004-01,0.242,
2004-04,0.231,
2004-07,0.230,
2004-10,0.216,
2005-01,0.249,
2005-04,0.247,
2005-07,0.250,
2005-10,0.237,
2006-01,0.224,
2006-04,0.231,
2006-07,0.218,
2006-10,0.210,
2007-01,0.219,
2007-04,0.218,
2007-07,0.181,
2007-10,0.181,
2008-01,0.190,
2008-04,0.188,
2008-07,0.189,
2008-10,0.197,
2009-01,0.190,
2009-04,0.186,
2009-07,0.188,
2009-10,0.175,
2010-01,0.171,
2010-04,0.169,
2010-07,0.175,
2010-10,0.166,
2011-01,0.170,
2011-04,0.170,
2011-07,0.168,
2011-10,0.156,
2012-01,0.157,
2012-04,0.153,
2012-07,0.145,
2012-10,0.147,
2013-01,0.145,
2013-04,0.142,
2013-07,0.149,
2013-10,0.147,
2014-01,0.158,
2014-04,0.159,
2014-07,0.158,
