"",BBNZ1.Q.DE.S.G.0326.A,BBNZ1.Q.DE.S.G.0326.A_FLAGS
"",Germany / National accounts / Households' income / Saving / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:08,
1991-01,30.076,
1991-04,34.202,
1991-07,31.933,
1991-10,32.604,
1992-01,33.264,
1992-04,34.001,
1992-07,35.002,
1992-10,34.032,
1993-01,33.072,
1993-04,35.152,
1993-07,33.036,
1993-10,33.977,
1994-01,32.383,
1994-04,32.673,
1994-07,33.584,
1994-10,33.983,
1995-01,32.907,
1995-04,33.433,
1995-07,33.141,
1995-10,32.571,
1996-01,32.826,
1996-04,33.026,
1996-07,32.108,
1996-10,30.531,
1997-01,31.502,
1997-04,31.083,
1997-07,31.406,
1997-10,31.391,
1998-01,32.268,
1998-04,31.780,
1998-07,30.609,
1998-10,30.576,
1999-01,29.849,
1999-04,30.114,
1999-07,30.533,
1999-10,31.528,
2000-01,32.005,
2000-04,29.675,
2000-07,28.006,
2000-10,28.926,
2001-01,32.966,
2001-04,32.568,
2001-07,33.021,
2001-10,33.289,
2002-01,32.171,
2002-04,32.651,
2002-07,33.767,
2002-10,34.050,
2003-01,35.626,
2003-04,35.534,
2003-07,35.911,
2003-10,39.235,
2004-01,35.911,
2004-04,36.460,
2004-07,36.716,
2004-10,36.117,
2005-01,35.468,
2005-04,35.779,
2005-07,37.107,
2005-10,39.855,
2006-01,36.903,
2006-04,37.575,
2006-07,38.122,
2006-10,38.998,
2007-01,39.452,
2007-04,38.515,
2007-07,38.844,
2007-10,40.267,
2008-01,40.456,
2008-04,44.215,
2008-07,42.959,
2008-10,37.512,
2009-01,39.242,
2009-04,39.392,
2009-07,38.600,
2009-10,38.515,
2010-01,39.769,
2010-04,40.022,
2010-07,39.664,
2010-10,39.884,
2011-01,39.173,
2011-04,40.166,
2011-07,39.577,
2011-10,40.297,
2012-01,40.880,
2012-04,40.467,
2012-07,39.569,
2012-10,38.563,
2013-01,39.145,
2013-04,39.229,
2013-07,39.829,
2013-10,38.763,
2014-01,39.969,
2014-04,40.793,
2014-07,40.979,
2014-10,43.905,
