"",BBSF2.M.1.T.00000.TOT01.I.F.INV.NL.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.NL.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Netherlands,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:35,
2009-09,57,
2009-10,55,
2009-11,54,
2009-12,404,
2010-01,406,
2010-02,412,
2010-03,402,
2010-04,397,
2010-05,406,
2010-06,408,
2010-07,405,
2010-08,414,
2010-09,404,
2010-10,410,
2010-11,418,
2010-12,416,
2011-01,406,
2011-02,405,
2011-03,370,
2011-04,387,
2011-05,394,
2011-06,404,
2011-07,398,
2011-08,397,
2011-09,408,
2011-10,403,
2011-11,409,
2011-12,410,
2012-01,426,
2012-02,429,
2012-03,438,
2012-04,432,
2012-05,442,
2012-06,437,
2012-07,441,
2012-08,438,
2012-09,454,
2012-10,456,
2012-11,460,
2012-12,463,
2013-01,459,
2013-02,468,
2013-03,461,
2013-04,465,
2013-05,463,
2013-06,455,
2013-07,449,
2013-08,451,
2013-09,451,
2013-10,452,
2013-11,278,
2013-12,278,
2014-01,280,
2014-02,287,
2014-03,292,
2014-04,297,
2014-05,299,
2014-06,301,
2014-07,311,
2014-08,312,
2014-09,313,
2014-10,319,
2014-11,321,
