"",BBK01.OELJ04T,BBK01.OELJ04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:42,
2002-01,0.239,
2002-04,0.208,
2002-07,0.209,
2002-10,0.204,
2003-01,0.212,
2003-04,0.180,
2003-07,0.167,
2003-10,0.221,
2004-01,0.193,
2004-04,0.136,
2004-07,0.189,
2004-10,0.238,
2005-01,0.246,
2005-04,0.234,
2005-07,0.209,
2005-10,0.285,
2006-01,0.251,
2006-04,0.231,
2006-07,0.222,
2006-10,0.280,
2007-01,0.267,
2007-04,0.296,
2007-07,0.280,
2007-10,0.278,
2008-01,0.288,
2008-04,0.275,
2008-07,0.392,
2008-10,0.405,
2009-01,0.402,
2009-04,0.281,
2009-07,0.303,
2009-10,0.286,
2010-01,0.296,
2010-04,0.310,
2010-07,0.308,
2010-10,0.306,
2011-01,0.340,
2011-04,0.301,
2011-07,0.323,
2011-10,0.352,
2012-01,0.254,
2012-04,0.203,
2012-07,0.212,
2012-10,0.215,
2013-01,0.200,
2013-04,0.184,
2013-07,0.166,
2013-10,0.163,
2014-01,0.156,
2014-04,0.146,
2014-07,0.121,
