"",BBK01.OECB07G,BBK01.OECB07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:44,
2002-01,1.856,
2002-04,1.646,
2002-07,1.609,
2002-10,1.495,
2003-01,1.364,
2003-04,1.429,
2003-07,1.346,
2003-10,1.336,
2004-01,1.345,
2004-04,1.466,
2004-07,1.457,
2004-10,1.473,
2005-01,1.603,
2005-04,1.655,
2005-07,1.743,
2005-10,1.664,
2006-01,1.805,
2006-04,1.763,
2006-07,1.745,
2006-10,1.658,
2007-01,1.496,
2007-04,1.469,
2007-07,1.550,
2007-10,1.476,
2008-01,1.452,
2008-04,1.469,
2008-07,1.494,
2008-10,1.532,
2009-01,1.662,
2009-04,2.190,
2009-07,2.041,
2009-10,2.029,
2010-01,2.348,
2010-04,2.405,
2010-07,2.201,
2010-10,2.167,
2011-01,2.066,
2011-04,1.989,
2011-07,1.852,
2011-10,1.796,
2012-01,1.727,
2012-04,1.563,
2012-07,1.551,
2012-10,1.417,
2013-01,1.473,
2013-04,1.548,
2013-07,1.556,
2013-10,1.745,
2014-01,1.693,
2014-04,1.632,
2014-07,1.632,
