"",BBK01.OXK8Z3,BBK01.OXK8Z3_FLAGS
"",Trading portfolio derivatives (included in other liabilities) / Regional institutions of credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:44,
2010-12,26.079,
2011-01,23.199,
2011-02,22.706,
2011-03,21.141,
2011-04,20.905,
2011-05,21.906,
2011-06,20.494,
2011-07,24.166,
2011-08,28.980,
2011-09,34.427,
2011-10,31.340,
2011-11,31.751,
2011-12,35.318,
2012-01,36.002,
2012-02,34.768,
2012-03,35.020,
2012-04,36.505,
2012-05,46.691,
2012-06,40.125,
2012-07,44.044,
2012-08,43.249,
2012-09,40.943,
2012-10,39.418,
2012-11,39.518,
2012-12,40.072,
2013-01,34.541,
2013-02,36.809,
2013-03,37.541,
2013-04,38.104,
2013-05,34.075,
2013-06,30.902,
2013-07,30.427,
2013-08,28.406,
2013-09,28.997,
2013-10,29.329,
2013-11,28.441,
2013-12,26.257,
2014-01,28.284,
2014-02,28.011,
2014-03,27.712,
2014-04,28.102,
2014-05,30.144,
2014-06,31.248,
2014-07,32.323,
2014-08,34.035,
2014-09,35.558,
2014-10,34.573,
2014-11,36.114,
2014-12,39.855,Provisional value
