"",BBK01.OECB20H,BBK01.OECB20H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:58,
2002-01,62.837,
2002-04,62.990,
2002-07,62.786,
2002-10,62.523,
2003-01,62.086,
2003-04,61.593,
2003-07,60.823,
2003-10,59.493,
2004-01,57.562,
2004-04,57.416,
2004-07,56.715,
2004-10,56.055,
2005-01,56.752,
2005-04,55.935,
2005-07,55.052,
2005-10,54.029,
2006-01,52.519,
2006-04,51.244,
2006-07,50.403,
2006-10,49.151,
2007-01,47.763,
2007-04,46.784,
2007-07,45.500,
2007-10,43.522,
2008-01,41.913,
2008-04,40.508,
2008-07,39.123,
2008-10,37.619,
2009-01,36.297,
2009-04,23.685,
2009-07,22.992,
2009-10,22.460,
2010-01,21.855,
2010-04,21.260,
2010-07,20.563,
2010-10,20.882,
2011-01,19.480,
2011-04,19.088,
2011-07,18.780,
2011-10,18.477,
2012-01,18.255,
2012-04,18.043,
2012-07,17.955,
2012-10,17.843,
2013-01,17.761,
2013-04,17.721,
2013-07,17.383,
2013-10,17.263,
2014-01,17.272,
2014-04,17.412,
2014-07,17.617,
