"",BBK01.OEAH21P,BBK01.OEAH21P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:32,
2002-01,2.093,
2002-04,2.060,
2002-07,2.057,
2002-10,2.123,
2003-01,2.208,
2003-04,2.219,
2003-07,2.333,
2003-10,2.440,
2004-01,2.417,
2004-04,2.474,
2004-07,2.589,
2004-10,2.713,
2005-01,2.934,
2005-04,2.983,
2005-07,3.056,
2005-10,3.055,
2006-01,3.100,
2006-04,3.060,
2006-07,3.130,
2006-10,3.180,
2007-01,3.148,
2007-04,3.155,
2007-07,3.159,
2007-10,3.171,
2008-01,3.144,
2008-04,3.112,
2008-07,3.077,
2008-10,3.052,
2009-01,3.007,
2009-04,2.976,
2009-07,2.930,
2009-10,2.828,
2010-01,2.799,
2010-04,2.782,
2010-07,2.750,
2010-10,2.725,
2011-01,2.807,
2011-04,2.751,
2011-07,2.864,
2011-10,2.880,
2012-01,2.931,
2012-04,2.925,
2012-07,2.923,
2012-10,3.001,
2013-01,3.023,
2013-04,2.968,
2013-07,2.936,
2013-10,2.897,
2014-01,2.923,
2014-04,3.068,
2014-07,3.047,
