"",BBK01.OEAA09K,BBK01.OEAA09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:56,
2002-01,131.966,
2002-04,131.895,
2002-07,135.421,
2002-10,136.897,
2003-01,133.553,
2003-04,129.109,
2003-07,130.981,
2003-10,131.876,
2004-01,132.868,
2004-04,141.089,
2004-07,140.265,
2004-10,138.846,
2005-01,136.638,
2005-04,137.399,
2005-07,138.152,
2005-10,139.387,
2006-01,138.291,
2006-04,138.533,
2006-07,138.345,
2006-10,137.083,
2007-01,131.118,
2007-04,131.399,
2007-07,131.156,
2007-10,129.874,
2008-01,134.267,
2008-04,136.193,
2008-07,138.266,
2008-10,139.905,
2009-01,139.805,
2009-04,142.917,
2009-07,141.256,
2009-10,136.149,
2010-01,136.205,
2010-04,138.309,
2010-07,137.807,
2010-10,138.873,
2011-01,136.611,
2011-04,135.692,
2011-07,142.558,
2011-10,142.860,
2012-01,141.318,
2012-04,142.383,
2012-07,142.777,
2012-10,138.476,
2013-01,137.953,
2013-04,138.745,
2013-07,137.382,
2013-10,131.406,
2014-01,130.842,
2014-04,131.948,
2014-07,131.709,
