"",BBK01.OEHM03R,BBK01.OEHM03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:41,
2002-01,0.104,
2002-04,0.118,
2002-07,0.093,
2002-10,0.077,
2003-01,0.081,
2003-04,0.072,
2003-07,0.074,
2003-10,0.072,
2004-01,0.109,
2004-04,0.113,
2004-07,0.112,
2004-10,0.079,
2005-01,0.082,
2005-04,0.085,
2005-07,0.083,
2005-10,0.087,
2006-01,0.091,
2006-04,0.098,
2006-07,0.095,
2006-10,0.095,
2007-01,0.078,
2007-04,0.090,
2007-07,0.102,
2007-10,0.074,
2008-01,0.083,
2008-04,0.092,
2008-07,0.094,
2008-10,0.119,
2009-01,0.119,
2009-04,0.101,
2009-07,0.073,
2009-10,0.065,
2010-01,0.061,
2010-04,0.059,
2010-07,0.069,
2010-10,0.064,
2011-01,0.063,
2011-04,0.061,
2011-07,0.059,
2011-10,0.070,
2012-01,0.061,
2012-04,0.055,
2012-07,0.053,
2012-10,0.049,
2013-01,0.044,
2013-04,0.032,
2013-07,0.035,
2013-10,0.029,
2014-01,0.026,
2014-04,0.031,
2014-07,0.033,
