"",BBK01.CEF4N0,BBK01.CEF4N0_FLAGS
"",Loans                                                           debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:26,
1999-01,390.6,
1999-04,414.6,
1999-07,431.3,
1999-10,458.9,
2000-01,478.3,
2000-04,516.6,
2000-07,519.6,
2000-10,516.6,
2001-01,616.8,
2001-04,612.1,
2001-07,600.2,
2001-10,579.8,
2002-01,616.7,
2002-04,584.9,
2002-07,613.4,
2002-10,588.4,
2003-01,626.2,
2003-04,597.0,
2003-07,607.0,
2003-10,608.1,
2004-01,647.3,
2004-04,610.9,
2004-07,661.3,
2004-10,634.4,
2005-01,658.9,
2005-04,660.3,
2005-07,679.4,
2005-10,699.9,
2006-01,688.4,
2006-04,687.0,
2006-07,715.2,
2006-10,693.5,
2007-01,725.8,
2007-04,752.1,
2007-07,806.2,
2007-10,822.4,
2008-01,900.1,
2008-04,920.4,
2008-07,974.5,
2008-10,947.4,
2009-01,979.8,
2009-04,1000.3,
2009-07,995.0,
2009-10,991.7,
2010-01,1049.8,
2010-04,1148.2,
2010-07,1175.5,
2010-10,1200.8,
2011-01,1201.8,
2011-04,1209.3,
2011-07,1353.5,
2011-10,1364.0,
2012-01,1546.0,
2012-04,1671.9,
2012-07,1637.2,
2012-10,1602.5,
2013-01,1559.3,
2013-04,1552.9,
2013-07,1530.4,
2013-10,1451.1,
2014-01,1407.9,
2014-04,1417.0,
2014-07,1457.3,
