"",BBFN1.M.DE.N.1.A.ZA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ZA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / South Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:42,
1994-12,1.445,
1995-01,1.412,
1995-02,1.425,
1995-03,1.400,
1995-04,1.410,
1995-05,1.481,
1995-06,1.486,
1995-07,1.485,
1995-08,1.442,
1995-09,1.422,
1995-10,1.349,
1995-11,1.339,
1995-12,1.346,
1996-01,1.280,
1996-02,1.294,
1996-03,1.387,
1996-04,1.314,
1996-05,1.369,
1996-06,1.356,
1996-07,1.379,
1996-08,1.367,
1996-09,1.405,
1996-10,1.325,
1996-11,1.278,
1996-12,1.297,
1997-01,1.260,
1997-02,1.315,
1997-03,1.215,
1997-04,1.263,
1997-05,1.180,
1997-06,1.152,
1997-07,1.155,
1997-08,1.225,
1997-09,1.191,
1997-10,1.180,
1997-11,1.179,
1997-12,1.204,
1998-01,1.203,
1998-02,1.285,
1998-03,1.255,
1998-04,1.302,
1998-05,1.362,
1998-06,1.387,
1998-07,1.381,
1998-08,1.358,
1998-09,1.321,
1998-10,1.311,
1998-11,1.286,
1998-12,1.433,
1999-01,1.295,
1999-02,1.273,
1999-03,1.295,
1999-04,1.246,
1999-05,1.364,
1999-06,1.489,
1999-07,1.545,
1999-08,1.521,
1999-09,1.524,
1999-10,1.578,
1999-11,1.437,
1999-12,1.495,
2000-01,1.581,
2000-02,1.635,
2000-03,1.574,
2000-04,1.569,
2000-05,1.643,
2000-06,1.601,
2000-07,1.669,
2000-08,1.782,
2000-09,1.820,
2000-10,1.815,
2000-11,1.860,
2000-12,1.871,
2001-01,1.817,
2001-02,1.849,
2001-03,1.762,
2001-04,1.821,
2001-05,1.796,
2001-06,1.855,
2001-07,1.895,
2001-08,1.886,
2001-09,1.964,
2001-10,1.802,
2001-11,1.780,
2001-12,1.600,
2002-01,1.623,
2002-02,1.584,
2002-03,1.583,
2002-04,1.597,
2002-05,1.746,
2002-06,1.705,
2002-07,1.709,
2002-08,1.704,
2002-09,1.737,
2002-10,1.671,
2002-11,1.658,
2002-12,1.720,
2003-01,1.649,
2003-02,1.880,
2003-03,1.687,
2003-04,1.628,
2003-05,1.487,
2003-06,1.410,
2003-07,1.418,
2003-08,1.481,
2003-09,1.436,
2003-10,1.403,
2003-11,1.411,
2003-12,1.407,
2004-01,1.383,
2004-02,1.362,
2004-03,1.386,
2004-04,1.466,
2004-05,1.449,
2004-06,1.505,
2004-07,1.529,
2004-08,1.552,
2004-09,1.530,
2004-10,1.581,
2004-11,1.531,
2004-12,1.616,
2005-01,1.614,
2005-02,1.641,
2005-03,1.535,
2005-04,1.500,
2005-05,1.519,
2005-06,1.592,
2005-07,1.560,
2005-08,1.571,
2005-09,1.561,
2005-10,1.603,
2005-11,1.652,
2005-12,1.721,
2006-01,1.685,
2006-02,1.744,
2006-03,1.831,
2006-04,1.826,
2006-05,1.842,
2006-06,2.031,
2006-07,2.026,
2006-08,2.016,
2006-09,1.914,
2006-10,1.997,
2006-11,1.860,
2006-12,1.968,
2007-01,1.894,
2007-02,2.011,
2007-03,1.867,
2007-04,1.882,
2007-05,1.838,
2007-06,1.888,
2007-07,1.942,
2007-08,2.115,
2007-09,2.088,
2007-10,2.106,
2007-11,2.099,
2007-12,2.040,
2008-01,2.013,
2008-02,2.010,
2008-03,1.993,
2008-04,2.022,
2008-05,2.013,
2008-06,2.072,
2008-07,2.094,
2008-08,2.102,
2008-09,2.039,
2008-10,2.000,
2008-11,1.820,
2008-12,1.829,
2009-01,1.784,
2009-02,1.776,
2009-03,1.692,
2009-04,1.649,
2009-05,1.671,
2009-06,1.690,
2009-07,1.667,
2009-08,1.667,
2009-09,1.727,
2009-10,1.758,
2009-11,1.754,
2009-12,1.782,
2010-01,1.740,
2010-02,1.832,
2010-03,1.929,
2010-04,1.915,
2010-05,1.915,
2010-06,1.952,
2010-07,1.989,
2010-08,1.990,
2010-09,2.070,
2010-10,2.047,
2010-11,2.014,
2010-12,2.138,
2011-01,2.017,
2011-02,2.001,
2011-03,2.054,
2011-04,1.995,
2011-05,2.202,
2011-06,2.244,
2011-07,2.280,
2011-08,2.321,
2011-09,2.325,
2011-10,2.329,
2011-11,2.245,
2011-12,2.176,
2012-01,2.166,
2012-02,2.206,
2012-03,2.179,
2012-04,2.088,
2012-05,2.084,
2012-06,2.145,
2012-07,2.180,
2012-08,2.101,
2012-09,2.155,
2012-10,2.246,
2012-11,2.118,
2012-12,2.111,
2013-01,2.297,
2013-02,2.415,
2013-03,2.208,
2013-04,2.208,
2013-05,2.054,
2013-06,2.130,
2013-07,2.142,
2013-08,2.293,
2013-09,2.133,
2013-10,2.054,
2013-11,2.028,
2013-12,2.136,
2014-01,2.003,
2014-02,1.979,
2014-03,2.031,
2014-04,2.073,
2014-05,2.081,
2014-06,2.144,
2014-07,2.172,
2014-08,2.254,
2014-09,2.290,
2014-10,2.337,
2014-11,2.460,
2014-12,2.694,
