"",BBDA1.M.DE.N.EX.S.A.SE.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.SE.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Sweden / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:25,
1990-07,533522,
1990-08,694602,
1990-09,714437,
1990-10,789769,
1990-11,731076,
1990-12,643502,
1991-01,655334,
1991-02,649027,
1991-03,682362,
1991-04,659152,
1991-05,676301,
1991-06,593020,
1991-07,532434,
1991-08,622288,
1991-09,627249,
1991-10,706652,
1991-11,678027,
1991-12,578744,
1992-01,573660,
1992-02,626465,
1992-03,694757,
1992-04,669282,
1992-05,658861,
1992-06,510997,
1992-07,552172,
1992-08,618677,
1992-09,666789,
1992-10,679586,
1992-11,611047,
1992-12,618137,
1993-01,472801,
1993-02,533515,
1993-03,591842,
1993-04,516903,
1993-05,495274,
1993-06,557330,
1993-07,433755,
1993-08,509253,
1993-09,545124,
1993-10,581871,
1993-11,601952,
1993-12,642203,
1994-01,513223,
1994-02,568953,
1994-03,639083,
1994-04,613104,
1994-05,661723,
1994-06,694038,
1994-07,469211,
1994-08,628298,
1994-09,705137,
1994-10,763415,
1994-11,772107,
1994-12,805765,
1995-01,820757,
1995-02,729320,
1995-03,838016,
1995-04,739355,
1995-05,766377,
1995-06,796163,
1995-07,604236,
1995-08,754208,
1995-09,855732,
1995-10,848631,
1995-11,840785,
1995-12,813709,
1996-01,830272,
1996-02,797847,
1996-03,851673,
1996-04,841423,
1996-05,800914,
1996-06,737823,
1996-07,674517,
1996-08,734167,
1996-09,799828,
1996-10,952557,
1996-11,909709,
1996-12,805369,
1997-01,766210,
1997-02,802148,
1997-03,857056,
1997-04,854542,
1997-05,881277,
1997-06,917037,
1997-07,746780,
1997-08,846444,
1997-09,970197,
1997-10,984525,
1997-11,996550,
1997-12,925352,
1998-01,917784,
1998-02,899680,
1998-03,926079,
1998-04,994905,
1998-05,895920,
1998-06,982530,
1998-07,860682,
1998-08,803017,
1998-09,971558,
1998-10,1040722,
1998-11,994734,
1998-12,896549,
1999-01,902585,
1999-02,923473,
1999-03,945256,
1999-04,988465,
1999-05,960660,
1999-06,989738,
1999-07,847557,
1999-08,919232,
1999-09,1032702,
1999-10,1024975,
1999-11,1177094,
1999-12,945366,
2000-01,1009685,
2000-02,1079080,
2000-03,1225111,
2000-04,1126478,
2000-05,1134387,
2000-06,1110358,
2000-07,987484,
2000-08,1085960,
2000-09,1123877,
2000-10,1321140,
2000-11,1237379,
2000-12,1083280,
2001-01,1154359,
2001-02,1087754,
2001-03,1263526,
2001-04,1118607,
2001-05,1005354,
2001-06,1072437,
2001-07,921756,
2001-08,987227,
2001-09,1020866,
2001-10,1157241,
2001-11,1195151,
2001-12,993697,
2002-01,1062703,
2002-02,1066424,
2002-03,1139463,
2002-04,1155408,
2002-05,1025603,
2002-06,1139031,
2002-07,935940,
2002-08,1071362,
2002-09,1171729,
2002-10,1275850,
2002-11,1336854,
2002-12,1115213,
2003-01,1089590,
2003-02,1130916,
2003-03,1282042,
2003-04,1186958,
2003-05,1169060,
2003-06,1121541,
2003-07,1034350,
2003-08,1100299,
2003-09,1282935,
2003-10,1362415,
2003-11,1341166,
2003-12,1138461,
2004-01,1174510,
2004-02,1208196,
2004-03,1375474,
2004-04,1368264,
2004-05,1314062,
2004-06,1272594,
2004-07,1160736,
2004-08,1227881,
2004-09,1353951,
2004-10,1475154,
2004-11,1532021,
2004-12,1266683,
2005-01,1265938,
2005-02,1334529,
2005-03,1524152,
2005-04,1477721,
2005-05,1497446,
2005-06,1440578,
2005-07,1188097,
2005-08,1374698,
2005-09,1543315,
2005-10,1499998,
2005-11,1607374,
2005-12,1484440,
2006-01,1421968,
2006-02,1424750,
2006-03,1687478,
2006-04,1451679,
2006-05,1614380,
2006-06,1492915,
2006-07,1318236,
2006-08,1483764,
2006-09,1754662,
2006-10,1804295,
2006-11,1801640,
2006-12,1535704,
2007-01,1736717,
2007-02,1692975,
2007-03,1921881,
2007-04,1715847,
2007-05,1816478,
2007-06,1853303,
2007-07,1438191,
2007-08,1698429,
2007-09,1917676,
2007-10,2113970,
2007-11,1979989,
2007-12,1609919,
2008-01,1784098,
2008-02,1756972,
2008-03,1830091,
2008-04,1874848,
2008-05,1796991,
2008-06,1827438,
2008-07,1490295,
2008-08,1565347,
2008-09,1788164,
2008-10,1749988,
2008-11,1501804,
2008-12,1125362,
2009-01,1206040,
2009-02,1242051,
2009-03,1335875,
2009-04,1306475,
2009-05,1154549,
2009-06,1307694,
2009-07,1104893,
2009-08,1178103,
2009-09,1497262,
2009-10,1476984,
2009-11,1429140,
2009-12,1307406,
2010-01,1258975,
2010-02,1408249,
2010-03,1700552,
2010-04,1598307,
2010-05,1645720,
2010-06,1802305,
2010-07,1378791,
2010-08,1497221,
2010-09,1755549,
2010-10,1855172,
2010-11,1786995,
2010-12,1688756,
2011-01,1723666,
2011-02,1761687,
2011-03,2109504,
2011-04,1908152,
2011-05,1973773,
2011-06,1807637,
2011-07,1544992,
2011-08,1856271,
2011-09,1980569,
2011-10,1832136,
2011-11,1864977,
2011-12,1670906,
2012-01,1737183,
2012-02,1835576,
2012-03,2038783,
2012-04,1799168,
2012-05,1817730,
2012-06,1856353,
2012-07,1442462,
2012-08,1748868,
2012-09,1722226,
2012-10,1884960,
2012-11,1757121,
2012-12,1451643,
2013-01,1752265,
2013-02,1628455,
2013-03,1846288,
2013-04,1834991,
2013-05,1772271,
2013-06,1725457,
2013-07,1490033,
2013-08,1631180,
2013-09,1826176,
2013-10,1947276,
2013-11,1771076,
2013-12,1474917,
2014-01,1722830,
2014-02,1737607,
2014-03,1885572,
2014-04,1832626,
2014-05,1775911,
2014-06,1831308,
2014-07,1636023,
2014-08,1696098,
2014-09,1956968,
2014-10,1973337,
2014-11,1839308,
2014-12,1703729,
