"",BBK01.OEAD05K,BBK01.OEAD05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:33,
2002-01,0.439,
2002-04,0.460,
2002-07,0.448,
2002-10,0.452,
2003-01,0.421,
2003-04,0.386,
2003-07,0.320,
2003-10,0.378,
2004-01,0.343,
2004-04,0.337,
2004-07,0.349,
2004-10,0.360,
2005-01,0.338,
2005-04,0.341,
2005-07,0.375,
2005-10,0.432,
2006-01,0.441,
2006-04,0.426,
2006-07,0.412,
2006-10,0.404,
2007-01,0.351,
2007-04,0.448,
2007-07,0.455,
2007-10,0.445,
2008-01,0.489,
2008-04,0.540,
2008-07,0.538,
2008-10,0.434,
2009-01,0.470,
2009-04,0.439,
2009-07,0.409,
2009-10,0.399,
2010-01,0.389,
2010-04,0.410,
2010-07,0.419,
2010-10,0.474,
2011-01,0.454,
2011-04,0.415,
2011-07,0.450,
2011-10,0.449,
2012-01,0.463,
2012-04,0.455,
2012-07,0.446,
2012-10,0.424,
2013-01,0.388,
2013-04,0.427,
2013-07,0.423,
2013-10,0.451,
2014-01,0.507,
2014-04,0.477,
2014-07,0.467,
