"",BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:55,
1991-01,10.707,
1991-04,113.913,
1991-07,38.137,
1991-10,58.717,
1992-01,-219.944,
1992-04,15.736,
1992-07,40.854,
1992-10,48.105,
1993-01,90.235,
1993-04,15.784,
1993-07,166.815,
1993-10,-2.983,
1994-01,-53.057,
1994-04,125.321,
1994-07,-66.794,
1994-10,-49.678,
1995-01,388.303,
1995-04,-46.158,
1995-07,674.873,
1995-10,194.798,
1996-01,-328.444,
1996-04,295.962,
1996-07,-168.925,
1996-10,938.671,
1997-01,-154.524,
1997-04,329.701,
1997-07,301.370,
1997-10,-220.727,
1998-01,1061.219,
1998-04,1469.714,
1998-07,141.661,
1998-10,-55.089,
1999-01,477.047,
1999-04,104.275,
1999-07,54.197,
1999-10,16.540,
2000-01,-492.905,
2000-04,1057.343,
2000-07,1760.715,
2000-10,9.203,
2001-01,1328.714,
2001-04,2034.229,
2001-07,-272.263,
2001-10,-2879.099,
2002-01,70.640,
2002-04,678.140,
2002-07,-685.424,
2002-10,734.452,
2003-01,204.800,
2003-04,792.438,
2003-07,-4427.165,
2003-10,-588.440,
2004-01,514.626,
2004-04,-320.912,
2004-07,-795.674,
2004-10,-1253.229,
2005-01,-1175.061,
2005-04,9.325,
2005-07,-656.354,
2005-10,-934.233,
2006-01,1522.844,
2006-04,1139.686,
2006-07,1013.004,
2006-10,12619.464,
2007-01,2831.567,
2007-04,525.139,
2007-07,177.078,
2007-10,142.129,
2008-01,1010.660,
2008-04,-642.134,
2008-07,-1584.678,
2008-10,-536.431,
2009-01,-166.684,
2009-04,-1707.105,
2009-07,-2768.542,
2009-10,352.756,
2010-01,836.245,
2010-04,4480.881,
2010-07,388.044,
2010-10,75.433,
2011-01,-563.468,
2011-04,373.550,
2011-07,33.059,
2011-10,464.516,
2012-01,-197.874,
2012-04,322.520,
2012-07,967.734,
2012-10,-289.964,
2013-01,830.404,
2013-04,-468.602,
2013-07,283.606,
2013-10,2361.098,
2014-01,-382.714,Provisional value
2014-04,380.802,Provisional value
2014-07,-340.716,Provisional value
2014-10,-734.621,Provisional value
