"",BBK01.CEHB0X,BBK01.CEHB0X_FLAGS
"",Long-term debt securities debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:58,
1991-01,6.4,
1991-04,7.1,
1991-07,4.8,
1991-10,-1.9,
1992-01,5.7,
1992-04,3.4,
1992-07,-4.2,
1992-10,-5.1,
1993-01,5.6,
1993-04,4.2,
1993-07,2.1,
1993-10,4.0,
1994-01,7.6,
1994-04,8.2,
1994-07,4.1,
1994-10,4.2,
1995-01,0.3,
1995-04,-1.0,
1995-07,9.3,
1995-10,3.6,
1996-01,10.1,
1996-04,10.8,
1996-07,4.7,
1996-10,3.6,
1997-01,10.7,
1997-04,17.3,
1997-07,9.0,
1997-10,3.1,
1998-01,13.7,
1998-04,11.0,
1998-07,1.0,
1998-10,2.4,
1999-01,22.4,
1999-04,15.6,
1999-07,14.7,
1999-10,10.5,
2000-01,15.6,
2000-04,-1.5,
2000-07,7.3,
2000-10,-7.5,
2001-01,8.3,
2001-04,5.2,
2001-07,2.1,
2001-10,4.0,
2002-01,14.2,
2002-04,1.3,
2002-07,5.8,
2002-10,6.6,
2003-01,10.6,
2003-04,11.6,
2003-07,21.1,
2003-10,-1.6,
2004-01,-0.3,
2004-04,8.9,
2004-07,2.6,
2004-10,-9.7,
2005-01,10.4,
2005-04,4.6,
2005-07,9.8,
2005-10,6.6,
2006-01,3.2,
2006-04,18.3,
2006-07,10.8,
2006-10,-2.1,
2007-01,9.2,
2007-04,-2.6,
2007-07,-7.3,
2007-10,-2.5,
2008-01,1.9,
2008-04,4.5,
2008-07,6.3,
2008-10,-1.7,
2009-01,17.4,
2009-04,15.7,
2009-07,18.7,
2009-10,14.1,
2010-01,11.9,
2010-04,28.4,
2010-07,9.6,
2010-10,-4.9,
2011-01,-0.2,
2011-04,-4.0,
2011-07,-7.8,
2011-10,3.9,
2012-01,7.3,
2012-04,17.3,
2012-07,13.3,
2012-10,1.2,
2013-01,12.0,
2013-04,12.0,
2013-07,6.9,
2013-10,11.3,
2014-01,17.3,
