"",BBK01.OEAF13P,BBK01.OEAF13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:12,
2002-01,0.079,
2002-04,0.085,
2002-07,0.088,
2002-10,0.086,
2003-01,0.080,
2003-04,0.077,
2003-07,0.075,
2003-10,0.078,
2004-01,0.075,
2004-04,0.079,
2004-07,0.079,
2004-10,0.075,
2005-01,0.077,
2005-04,0.076,
2005-07,0.077,
2005-10,0.074,
2006-01,0.065,
2006-04,0.068,
2006-07,0.063,
2006-10,0.056,
2007-01,0.054,
2007-04,0.053,
2007-07,0.049,
2007-10,0.048,
2008-01,0.049,
2008-04,0.046,
2008-07,0.042,
2008-10,0.042,
2009-01,0.041,
2009-04,0.038,
2009-07,0.036,
2009-10,0.032,
2010-01,0.033,
2010-04,0.014,
2010-07,0.018,
2010-10,0.019,
2011-01,0.021,
2011-04,0.020,
2011-07,0.021,
2011-10,0.027,
2012-01,0.027,
2012-04,0.028,
2012-07,0.029,
2012-10,0.034,
2013-01,0.037,
2013-04,0.032,
2013-07,0.033,
2013-10,0.027,
2014-01,0.028,
2014-04,0.027,
2014-07,0.028,
