"",BBK01.OEAA46G,BBK01.OEAA46G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:38,
2002-01,3.634,
2002-04,3.479,
2002-07,3.240,
2002-10,2.168,
2003-01,2.141,
2003-04,3.358,
2003-07,3.487,
2003-10,3.224,
2004-01,4.244,
2004-04,4.243,
2004-07,4.038,
2004-10,3.080,
2005-01,3.421,
2005-04,3.182,
2005-07,4.120,
2005-10,4.016,
2006-01,3.821,
2006-04,3.694,
2006-07,4.191,
2006-10,4.582,
2007-01,4.552,
2007-04,4.443,
2007-07,2.937,
2007-10,2.693,
2008-01,2.501,
2008-04,2.395,
2008-07,2.588,
2008-10,2.564,
2009-01,2.766,
2009-04,2.596,
2009-07,3.226,
2009-10,3.423,
2010-01,3.182,
2010-04,3.322,
2010-07,5.114,
2010-10,5.270,
2011-01,4.950,
2011-04,4.917,
2011-07,4.676,
2011-10,4.819,
2012-01,4.680,
2012-04,4.683,
2012-07,4.298,
2012-10,4.072,
2013-01,3.845,
2013-04,3.714,
2013-07,3.572,
2013-10,3.429,
2014-01,3.243,
2014-04,3.208,
2014-07,3.124,
