"",BBK01.OUC165,BBK01.OUC165_FLAGS
"",Savings deposits of non-profit institutions / At three months' notice / Big banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:10:26,
1968-12,0.051,
1969-01,0.069,
1969-02,0.072,
1969-03,0.075,
1969-04,0.074,
1969-05,0.074,
1969-06,0.071,
1969-07,0.069,
1969-08,0.066,
1969-09,0.067,
1969-10,0.066,
1969-11,0.061,
1969-12,0.070,
1970-01,0.071,
1970-02,0.074,
1970-03,0.066,
1970-04,0.055,
1970-05,0.055,
1970-06,0.052,
1970-07,0.051,
1970-08,0.050,
1970-09,0.045,
1970-10,0.050,
1970-11,0.050,
1970-12,0.061,
1971-01,0.061,
1971-02,0.065,
1971-03,0.065,
1971-04,0.078,
1971-05,0.077,
1971-06,0.079,
1971-07,0.080,
1971-08,0.081,
1971-09,0.079,
1971-10,0.081,
1971-11,0.080,
1971-12,0.075,
1972-01,0.077,
1972-02,0.076,
1972-03,0.080,
1972-04,0.081,
1972-05,0.080,
1972-06,0.086,
1972-07,0.087,
1972-08,0.083,
1972-09,0.087,
1972-10,0.092,
1972-11,0.093,
1972-12,0.097,
1973-01,0.106,
1973-02,0.118,
1973-03,0.121,
1973-04,0.107,
1973-05,0.102,
1973-06,0.098,
1973-07,0.106,
1973-08,0.099,
1973-09,0.111,
1973-10,0.109,
1973-11,0.103,
1973-12,0.124,
1974-01,0.128,
1974-02,0.133,
1974-03,0.135,
1974-04,0.121,
1974-05,0.117,
1974-06,0.115,
1974-07,0.114,
1974-08,0.107,
1974-09,0.104,
1974-10,0.103,
1974-11,0.104,
1974-12,0.120,
1975-01,0.127,
1975-02,0.123,
1975-03,0.137,
1975-04,0.140,
1975-05,0.137,
1975-06,0.139,
1975-07,0.155,
1975-08,0.152,
1975-09,0.157,
1975-10,0.161,
1975-11,0.157,
1975-12,0.177,
1976-01,0.192,
1976-02,0.188,
1976-03,0.186,
1976-04,0.187,
1976-05,0.189,
1976-06,0.189,
1976-07,0.189,
1976-08,0.186,
1976-09,0.190,
1976-10,0.187,
1976-11,0.182,
1976-12,0.193,
1977-01,0.211,
1977-02,0.216,
1977-03,0.187,
1977-04,0.179,
1977-05,0.200,
1977-06,0.202,
1977-07,0.235,
1977-08,0.195,
1977-09,0.187,
1977-10,0.199,
1977-11,0.200,
1977-12,0.212,
1978-01,0.208,
1978-02,0.209,
1978-03,0.185,
1978-04,0.179,
1978-05,0.175,
1978-06,0.179,
1978-07,0.186,
1978-08,0.191,
1978-09,0.191,
1978-10,0.193,
1978-11,0.197,
1978-12,0.199,
1979-01,0.211,
1979-02,0.218,
1979-03,0.213,
1979-04,0.210,
1979-05,0.197,
1979-06,0.196,
1979-07,0.165,
1979-08,0.157,
1979-09,0.171,
1979-10,0.146,
1979-11,0.148,
1979-12,0.152,
1980-01,0.159,
1980-02,0.145,
1980-03,0.168,
1980-04,0.142,
1980-05,0.131,
1980-06,0.129,
1980-07,0.134,
1980-08,0.129,
1980-09,0.129,
1980-10,0.128,
1980-11,0.127,
1980-12,0.141,
1981-01,0.142,
1981-02,0.137,
1981-03,0.135,
1981-04,0.135,
1981-05,0.137,
1981-06,0.144,
1981-07,0.141,
1981-08,0.145,
1981-09,0.147,
1981-10,0.152,
1981-11,0.154,
1981-12,0.178,
1982-01,0.178,
1982-02,0.174,
1982-03,0.177,
1982-04,0.187,
1982-05,0.189,
1982-06,0.188,
1982-07,0.188,
1982-08,0.178,
1982-09,0.184,
1982-10,0.186,
1982-11,0.184,
1982-12,0.216,
1983-01,0.206,
1983-02,0.208,
1983-03,0.215,
1983-04,0.215,
1983-05,0.217,
1983-06,0.201,
1983-07,0.201,
1983-08,0.203,
1983-09,0.204,
1983-10,0.211,
1983-11,0.204,
1983-12,0.221,
1984-01,0.220,
1984-02,0.209,
1984-03,0.216,
1984-04,0.219,
1984-05,0.224,
1984-06,0.214,
1984-07,0.213,
1984-08,0.215,
1984-09,0.217,
1984-10,0.212,
1984-11,0.216,
1984-12,0.234,
1985-01,0.241,
1985-02,0.238,
1985-03,0.248,
1985-04,0.252,
1985-05,0.276,
1985-06,0.273,
1985-07,0.276,
1985-08,0.270,
1985-09,0.287,
1985-10,0.258,
1985-11,0.248,
1985-12,0.268,
1986-01,0.289,
1986-02,0.290,
1986-03,0.296,
1986-04,0.297,
1986-05,0.300,
1986-06,0.291,
1986-07,0.290,
1986-08,0.302,
1986-09,0.313,
1986-10,0.343,
1986-11,0.333,
1986-12,0.352,
1987-01,0.338,
1987-02,0.328,
1987-03,0.413,
1987-04,0.417,
1987-05,0.419,
1987-06,0.425,
1987-07,0.372,
1987-08,0.371,
1987-09,0.366,
1987-10,0.357,
1987-11,0.366,
1987-12,0.402,
1988-01,0.416,
1988-02,0.413,
1988-03,0.406,
1988-04,0.412,
1988-05,0.411,
1988-06,0.392,
1988-07,0.374,
1988-08,0.363,
1988-09,0.347,
1988-10,0.349,
1988-11,0.337,
1988-12,0.358,
1989-01,0.357,
1989-02,0.364,
1989-03,0.366,
1989-04,0.369,
1989-05,0.363,
1989-06,0.359,
1989-07,0.355,
1989-08,0.363,
1989-09,0.355,
1989-10,0.339,
1989-11,0.335,
1989-12,0.349,
1990-01,0.350,
1990-02,0.331,
1990-03,0.337,
1990-04,0.348,
1990-05,0.340,
1990-06,0.347,
1990-07,0.369,
1990-08,0.364,
1990-09,0.373,
1990-10,0.365,
1990-11,0.367,
1990-12,0.387,
1991-01,0.346,
1991-02,0.324,
1991-03,0.313,
1991-04,0.310,
1991-05,0.288,
1991-06,0.293,
1991-07,0.279,
1991-08,0.273,
1991-09,0.270,
1991-10,0.278,
1991-11,0.261,
1991-12,0.274,
1992-01,0.276,
1992-02,0.273,
1992-03,0.277,
1992-04,0.273,
1992-05,0.289,
1992-06,0.291,
1992-07,0.291,
1992-08,0.283,
1992-09,0.276,
1992-10,0.275,
1992-11,0.264,
1992-12,0.292,
1993-01,0.296,
1993-02,0.293,
1993-03,0.299,
1993-04,0.304,
1993-05,0.304,
1993-06,0.298,
1993-07,0.293,
1993-08,0.273,
1993-09,0.271,
1993-10,0.249,
1993-11,0.239,
1993-12,0.254,
1994-01,0.242,
1994-02,0.245,
1994-03,0.242,
1994-04,0.245,
1994-05,0.245,
1994-06,0.243,
1994-07,0.240,
1994-08,0.240,
1994-09,0.237,
1994-10,0.217,
1994-11,0.213,
1994-12,0.221,
1995-01,0.213,
1995-02,0.207,
1995-03,0.203,
1995-04,0.202,
1995-05,0.203,
1995-06,0.206,
1995-07,0.213,
1995-08,0.209,
1995-09,0.214,
1995-10,0.214,
1995-11,0.209,
1995-12,0.227,
1996-01,0.243,
1996-02,0.255,
1996-03,0.270,
1996-04,0.272,
1996-05,0.286,
1996-06,0.287,
1996-07,0.287,
1996-08,0.269,
1996-09,0.254,
1996-10,0.249,
1996-11,0.238,
1996-12,0.270,
1997-01,0.258,
1997-02,0.248,
1997-03,0.243,
1997-04,0.223,
1997-05,0.240,
1997-06,0.234,
1997-07,0.229,
1997-08,0.218,
1997-09,0.215,
1997-10,0.208,
1997-11,0.198,
1997-12,0.208,
1998-01,0.198,
1998-02,0.194,
1998-03,0.192,
1998-04,0.193,
1998-05,0.196,
1998-06,0.208,
1998-07,0.204,
1998-08,0.202,
1998-09,0.204,
1998-10,0.205,
1998-11,0.205,
1998-12,0.210,
1999-01,0.393,
1999-02,0.413,
1999-03,0.406,
1999-04,0.483,
1999-05,0.498,
1999-06,0.488,
1999-07,0.473,
1999-08,0.456,
1999-09,0.434,
1999-10,0.419,
1999-11,0.386,
1999-12,0.368,
2000-01,0.353,
2000-02,0.338,
2000-03,0.354,
2000-04,0.344,
2000-05,0.324,
2000-06,0.297,
2000-07,0.288,
2000-08,0.292,
2000-09,0.284,
2000-10,0.294,
2000-11,0.302,
2000-12,0.300,
2001-01,0.281,
2001-02,0.269,
2001-03,0.279,
2001-04,0.282,
2001-05,0.272,
2001-06,0.257,
2001-07,0.260,
2001-08,0.274,
2001-09,0.255,
2001-10,0.215,
2001-11,0.243,
2001-12,0.271,
2002-01,0.254,
2002-02,0.239,
2002-03,0.225,
2002-04,0.218,
2002-05,0.222,
2002-06,0.196,
2002-07,0.188,
2002-08,0.190,
2002-09,0.184,
2002-10,0.181,
2002-11,0.187,
2002-12,0.221,
2003-01,0.222,
2003-02,0.233,
2003-03,0.247,
2003-04,0.235,
2003-05,0.225,
2003-06,0.246,
2003-07,0.276,
2003-08,0.305,
2003-09,0.315,
2003-10,0.328,
2003-11,0.320,
2003-12,0.310,
2004-01,0.378,
2004-02,0.390,
2004-03,0.399,
2004-04,0.471,
2004-05,0.480,
2004-06,0.510,
2004-07,0.564,
2004-08,0.602,
2004-09,0.629,
2004-10,0.623,
2004-11,0.623,
2004-12,0.748,
2005-01,0.757,
2005-02,0.797,
2005-03,0.807,
2005-04,0.813,
2005-05,0.844,
2005-06,0.938,
2005-07,1.000,
2005-08,1.022,
2005-09,1.006,
2005-10,1.032,
2005-11,0.853,
2005-12,0.700,
2006-01,0.693,
2006-02,0.702,
2006-03,0.688,
2006-04,0.689,
2006-05,0.649,
2006-06,0.634,
2006-07,0.611,
2006-08,0.605,
2006-09,0.601,
2006-10,0.570,
2006-11,0.552,
2006-12,0.558,
2007-01,0.518,
2007-02,0.537,
2007-03,0.583,
2007-04,0.624,
2007-05,0.654,
2007-06,0.632,
2007-07,0.598,
2007-08,0.591,
2007-09,0.563,
2007-10,0.554,
2007-11,0.536,
2007-12,0.546,
2008-01,0.546,
2008-02,0.561,
2008-03,0.556,
2008-04,0.542,
2008-05,0.538,
2008-06,0.493,
2008-07,0.490,
2008-08,0.490,
2008-09,0.486,
2008-10,0.485,
2008-11,0.447,
2008-12,0.451,
2009-01,0.445,
2009-02,0.485,
2009-03,0.509,
2009-04,0.510,
2009-05,0.555,
2009-06,0.567,
2009-07,0.599,
2009-08,0.575,
2009-09,0.592,
2009-10,0.587,
2009-11,0.566,
2009-12,0.574,
2010-01,0.491,
2010-02,0.541,
2010-03,0.565,
2010-04,0.560,
2010-05,0.552,
2010-06,0.564,
2010-07,0.572,
2010-08,0.565,
2010-09,0.570,
2010-10,0.572,
2010-11,0.570,
2010-12,0.569,
2011-01,0.572,
2011-02,0.596,
2011-03,0.601,
2011-04,0.591,
2011-05,0.534,
2011-06,0.461,
2011-07,0.444,
2011-08,0.423,
2011-09,0.398,
2011-10,0.369,
2011-11,0.353,
2011-12,0.345,
2012-01,0.368,
2012-02,0.428,
2012-03,0.468,
2012-04,0.474,
2012-05,0.484,
2012-06,0.499,
2012-07,0.573,
2012-08,0.605,
2012-09,0.634,
2012-10,0.648,
2012-11,0.630,
2012-12,0.682,
2013-01,0.706,
2013-02,0.737,
2013-03,0.714,
2013-04,0.754,
2013-05,0.779,
2013-06,0.773,
2013-07,0.741,
2013-08,0.759,
2013-09,0.745,
2013-10,0.718,
2013-11,0.670,
2013-12,0.662,
2014-01,0.639,
2014-02,0.632,
2014-03,0.593,
2014-04,0.598,
2014-05,0.596,
2014-06,0.592,
2014-07,0.571,
2014-08,0.560,
2014-09,0.543,
2014-10,0.531,
2014-11,0.517,
2014-12,0.499,Provisional value
