"",BBK01.OEAH34H,BBK01.OEAH34H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:55,
2002-01,0.085,
2002-04,0.076,
2002-07,0.080,
2002-10,0.125,
2003-01,0.169,
2003-04,0.217,
2003-07,0.250,
2003-10,0.300,
2004-01,0.332,
2004-04,0.309,
2004-07,0.230,
2004-10,0.173,
2005-01,0.193,
2005-04,0.154,
2005-07,0.144,
2005-10,0.139,
2006-01,0.179,
2006-04,0.204,
2006-07,0.272,
2006-10,0.309,
2007-01,0.346,
2007-04,0.396,
2007-07,0.525,
2007-10,0.982,
2008-01,1.274,
2008-04,1.783,
2008-07,2.007,
2008-10,1.560,
2009-01,1.613,
2009-04,1.561,
2009-07,1.471,
2009-10,1.681,
2010-01,1.477,
2010-04,1.379,
2010-07,1.302,
2010-10,1.523,
2011-01,1.738,
2011-04,1.949,
2011-07,3.003,
2011-10,1.965,
2012-01,1.937,
2012-04,1.668,
2012-07,1.610,
2012-10,1.593,
2013-01,1.514,
2013-04,1.442,
2013-07,1.428,
2013-10,1.595,
2014-01,1.467,
2014-04,1.504,
2014-07,1.553,
