"",BBEX3.M.JPY.USD.CA.AC.A01,BBEX3.M.JPY.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Japan / USD 1 = JPY ... (middle),
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:21,
1989-01,129.55,
1989-02,127.15,
1989-03,132.20,
1989-04,132.50,
1989-05,142.85,
1989-06,144.30,
1989-07,139.00,
1989-08,144.30,
1989-09,140.20,
1989-10,142.35,
1989-11,142.95,
1989-12,143.55,
1990-01,144.25,
1990-02,148.80,
1990-03,158.00,
1990-04,159.30,
1990-05,151.60,
1990-06,152.90,
1990-07,147.70,
1990-08,144.45,
1990-09,138.05,
1990-10,129.40,
1990-11,133.40,
1990-12,134.60,
1991-01,131.15,
1991-02,132.20,
1991-03,140.95,
1991-04,137.40,
1991-05,137.85,
1991-06,137.75,
1991-07,137.80,
1991-08,137.15,
1991-09,132.85,
1991-10,130.85,
1991-11,130.05,
1991-12,125.25,
1992-01,125.90,
1992-02,129.30,
1992-03,132.85,
1992-04,133.50,
1992-05,129.05,
1992-06,125.45,
1992-07,127.65,
1992-08,122.90,
1992-09,118.80,
1992-10,123.25,
1992-11,124.75,
1992-12,124.70,
1993-01,124.65,
1993-02,117.75,
1993-03,116.30,
1993-04,111.20,
1993-05,107.35,
1993-06,106.65,
1993-07,106.15,
1993-08,104.20,
1993-09,105.15,
1993-10,108.20,
1993-11,108.95,
1993-12,112.00,
1994-01,109.90,
1994-02,104.20,
1994-03,103.15,
1994-04,102.55,
1994-05,104.50,
1994-06,98.80,
1994-07,99.80,
1994-08,99.60,
1994-09,98.45,
1994-10,97.45,
1994-11,99.00,
1994-12,99.85,
1995-01,98.55,
1995-02,97.10,
1995-03,89.35,
1995-04,83.75,
1995-05,83.25,
1995-06,84.65,
1995-07,88.45,
1995-08,99.15,
1995-09,99.10,
1995-10,101.80,
1995-11,101.65,
1995-12,102.95,
1996-01,107.30,
1996-02,104.85,
1996-03,106.35,
1996-04,104.85,
1996-05,107.85,
1996-06,109.50,
1996-07,107.95,
1996-08,108.50,
1996-09,111.00,
1996-10,113.95,
1996-11,113.85,
1996-12,116.10,
1997-01,122.10,
1997-02,120.85,
1997-03,124.10,
1997-04,126.90,
1997-05,116.55,
1997-06,114.35,
1997-07,118.45,
1997-08,119.45,
1997-09,121.10,
1997-10,120.10,
1997-11,127.20,
1997-12,130.10,
1998-01,127.25,
1998-02,127.15,
1998-03,132.10,
1998-04,132.40,
1998-05,139.00,
1998-06,141.00,
1998-07,143.85,
1998-08,141.40,
1998-09,135.35,
1998-10,116.50,
1998-11,123.45,
1998-12,115.70,
1999-01,116.35,
1999-02,119.55,
1999-03,120.55,
1999-04,119.35,
1999-05,121.45,
1999-06,121.10,
1999-07,115.85,
1999-08,110.85,
1999-09,106.95,
1999-10,105.00,
1999-11,102.45,
1999-12,102.40,
2000-01,107.00,
2000-02,109.90,
2000-03,106.15,
2000-04,106.70,
2000-05,106.40,
2000-06,105.50,
2000-07,109.65,
2000-08,106.65,
2000-09,108.00,
2000-10,109.05,
2000-11,111.25,
2000-12,114.75,
2001-01,116.05,
2001-02,116.40,
2001-03,123.90,
2001-04,123.55,
2001-05,120.25,
2001-06,124.60,
2001-07,125.10,
2001-08,119.25,
2001-09,119.40,
2001-10,122.10,
2001-11,124.00,
2001-12,131.95,
2002-01,132.90,
2002-02,134.35,
2002-03,133.25,
2002-04,128.35,
2002-05,123.45,
2002-06,119.50,
2002-07,120.10,
2002-08,117.95,
2002-09,122.60,
2002-10,123.20,
2002-11,122.40,
2002-12,119.90,
2003-01,119.05,
2003-02,117.75,
2003-03,120.20,
2003-04,119.65,
2003-05,118.30,
2003-06,119.80,
2003-07,120.20,
2003-08,117.15,
2003-09,111.25,
2003-10,108.80,
2003-11,109.45,
2003-12,107.13,
2004-01,106.08,
2004-02,109.62,
2004-03,105.69,
2004-04,110.35,
2004-05,110.82,
2004-06,108.43,
2004-07,112.12,
2004-08,109.88,
2004-09,111.05,
2004-10,106.18,
2004-11,103.18,
2004-12,104.21,
2005-01,103.61,
2005-02,104.74,
2005-03,107.39,
2005-04,106.35,
2005-05,108.11,
2005-06,110.62,
2005-07,112.47,
2005-08,111.40,
2005-09,113.19,
2005-10,115.75,
2005-11,119.68,
2005-12,118.07,
2006-01,117.75,
2006-02,116.27,
2006-03,117.47,
2006-04,114.40,
2006-05,112.26,
2006-06,115.24,
2006-07,114.85,
2006-08,117.31,
2006-09,117.90,
2006-10,117.70,
2006-11,116.48,
2006-12,119.11,
2007-01,121.73,
2007-02,118.44,
2007-03,118.05,
2007-04,119.80,
2007-05,121.69,
2007-06,123.26,
2007-07,118.94,
2007-08,116.07,
2007-09,115.43,
2007-10,114.78,
2007-11,110.15,
2007-12,114.15,
2008-01,106.40,
2008-02,104.78,
