"",BBK01.OEHJ06U,BBK01.OEHJ06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:49,
2002-01,0.239,
2002-04,0.229,
2002-07,0.237,
2002-10,0.237,
2003-01,0.242,
2003-04,0.225,
2003-07,0.217,
2003-10,0.217,
2004-01,0.254,
2004-04,0.251,
2004-07,0.250,
2004-10,0.261,
2005-01,0.284,
2005-04,0.313,
2005-07,0.302,
2005-10,0.287,
2006-01,0.279,
2006-04,0.276,
2006-07,0.282,
2006-10,0.278,
2007-01,0.276,
2007-04,0.269,
2007-07,0.263,
2007-10,0.258,
2008-01,0.254,
2008-04,0.253,
2008-07,0.258,
2008-10,0.240,
2009-01,0.238,
2009-04,0.236,
2009-07,0.254,
2009-10,0.248,
2010-01,0.245,
2010-04,0.228,
2010-07,0.230,
2010-10,0.209,
2011-01,0.169,
2011-04,0.163,
2011-07,0.148,
2011-10,0.144,
2012-01,0.143,
2012-04,0.142,
2012-07,0.141,
2012-10,0.130,
2013-01,0.124,
2013-04,0.119,
2013-07,0.107,
2013-10,0.115,
2014-01,0.092,
2014-04,0.093,
2014-07,0.084,
