"",BBK01.QUV530,BBK01.QUV530_FLAGS
"",Banks in Germany: Short-term loans and advances to non- residents / Czech Republic / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:13:33,
2001-12,1.213,
2002-01,1.058,
2002-02,1.235,
2002-03,1.410,
2002-04,1.183,
2002-05,1.488,
2002-06,0.972,
2002-07,1.073,
2002-08,0.970,
2002-09,1.140,
2002-10,1.235,
2002-11,0.914,
2002-12,1.865,
2003-01,1.273,
2003-02,1.341,
2003-03,1.078,
2003-04,1.147,
2003-05,1.182,
2003-06,1.133,
2003-07,0.860,
2003-08,0.810,
2003-09,1.243,
2003-10,0.879,
2003-11,1.342,
2003-12,2.122,
2004-01,0.921,
2004-02,1.106,
2004-03,0.826,
2004-04,0.731,
2004-05,1.039,
2004-06,0.710,
2004-07,0.944,
2004-08,0.737,
2004-09,0.882,
2004-10,1.120,
2004-11,0.871,
2004-12,1.602,
2005-01,0.900,
2005-02,1.000,
2005-03,1.118,
2005-04,0.919,
2005-05,1.081,
2005-06,0.873,
2005-07,0.595,
2005-08,0.563,
2005-09,0.759,
2005-10,0.803,
2005-11,0.770,
2005-12,2.390,
2006-01,0.895,
2006-02,0.855,
2006-03,0.980,
2006-04,0.991,
2006-05,1.060,
2006-06,0.961,
2006-07,1.204,
2006-08,1.351,
2006-09,1.499,
2006-10,1.348,
2006-11,1.124,
2006-12,2.001,
2007-01,1.394,
2007-02,1.185,
2007-03,1.131,
2007-04,1.379,
2007-05,1.168,
2007-06,1.152,
2007-07,1.450,
2007-08,1.382,
2007-09,1.418,
2007-10,1.210,
2007-11,1.740,
2007-12,1.308,
2008-01,1.889,
2008-02,1.768,
2008-03,1.614,
2008-04,1.402,
2008-05,1.811,
2008-06,1.476,
2008-07,1.253,
2008-08,1.785,
2008-09,1.895,
2008-10,2.186,
2008-11,1.693,
2008-12,1.549,
2009-01,1.340,
2009-02,1.214,
2009-03,1.066,
2009-04,1.041,
2009-05,1.263,
2009-06,1.132,
2009-07,0.972,
2009-08,1.268,
2009-09,1.074,
2009-10,1.039,
2009-11,0.958,
2009-12,0.984,
2010-01,0.759,
2010-02,0.829,
2010-03,0.879,
2010-04,0.856,
2010-05,1.109,
2010-06,0.896,
2010-07,1.021,
2010-08,1.176,
2010-09,1.264,
2010-10,1.547,
2010-11,1.198,
2010-12,1.592,
2011-01,1.404,
2011-02,1.128,
2011-03,1.302,
2011-04,1.272,
2011-05,1.582,
2011-06,1.471,
2011-07,1.724,
2011-08,1.878,
2011-09,1.305,
2011-10,1.404,
2011-11,1.436,
2011-12,1.773,
2012-01,1.361,
2012-02,1.390,
2012-03,1.519,
2012-04,1.036,
2012-05,1.182,
2012-06,1.395,
2012-07,1.226,
2012-08,1.241,
2012-09,0.871,
2012-10,1.042,
2012-11,1.128,
2012-12,0.820,
2013-01,1.145,
2013-02,1.229,
2013-03,1.204,
2013-04,0.983,
2013-05,0.842,
2013-06,0.999,
2013-07,0.921,
2013-08,0.912,
2013-09,1.152,
2013-10,1.359,
2013-11,1.815,
2013-12,1.550,
2014-01,1.283,
2014-02,1.390,
2014-03,1.582,
2014-04,1.546,
2014-05,1.241,
2014-06,2.068,
2014-07,1.298,
2014-08,1.331,
2014-09,1.707,
2014-10,1.195,
2014-11,1.510,
2014-12,1.569,
